Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
brandy,Navigational,246000,97,0.45,"Sitelinks, Reviews, Video, Video carousel, People also ask, Related searches, Popular products"
brandy melville shorts,Navigational,18100,95,0.89,"Sitelinks, Reviews, Image, Image pack, Video, Video carousel, Knowledge panel, Related searches, Popular products"
what is brandy,Informational,12100,41,0.01,"AI Overview, Video, Video carousel, People also ask, Related searches"
brandy liquor,Informational,8100,37,0.29,"Sitelinks, AI Overview, Reviews, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products"
brandy alcohol,Informational,5400,27,0.29,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
french brandy,"Informational, Commercial",5400,14,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
best brandy,Commercial,3600,24,0.34,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products"
brandy brands,"Informational, Commercial",3600,20,0.24,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
brandy wine,Informational,3600,23,1.10,"Sitelinks, AI Overview, Reviews, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Things to know"
italian brandy,Informational,2900,11,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
what is brandy alcohol,Informational,2900,41,0.01,"AI Overview, Video, Video carousel, Short videos, People also ask, Knowledge panel, Related searches"
what is brandy made from,Informational,2900,27,0.01,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
brandy drinks,Informational,2400,12,0.21,"Image, Video, People also ask, Knowledge panel, Recipes, Discussions and forums, Related searches, Popular products"
brandys,Navigational,2400,47,0.45,"Sitelinks, Reviews, People also ask, Local pack, Related searches"
us.brandy,"Informational, Navigational",2400,66,0.94,"Sitelinks, Reviews, Video, People also ask"
brandy drink,Informational,1900,27,0.21,"Image, Video, Video carousel, Short videos, People also ask, Knowledge panel, Recipes, Related searches, Things to know"
good brandy,Commercial,1900,31,0.34,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
brandies,Navigational,1600,59,5.51,"Sitelinks, AI Overview, Reviews, Video, People also ask, Local pack, Knowledge panel, Related searches"
brandy definition,Informational,1600,47,0.03,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
brandy italien,Informational,1600,10,0.00,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
brandy types,Informational,1600,32,0.02,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
flavored brandy,Informational,1600,9,0.53,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
how is brandy made,Informational,1600,22,0.02,"AI Overview, Video, People also ask, Related searches"
types of brandy,Informational,1600,28,0.02,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
brandie,Informational,1300,73,5.51,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
brandy alcohol types,Informational,1300,28,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Popular products"
brandy from france,"Informational, Commercial",1300,16,0.00,"AI Overview, Video, Video carousel, People also ask, Related searches, Popular products"
brnady,Navigational,1300,91,0.45,"Sitelinks, Reviews, Video, People also ask, Knowledge panel, Related searches, Popular products"
is brandy whiskey,Informational,1300,26,0.02,"Sitelinks, AI Overview, Video, Short videos, People also ask, Knowledge panel, Related searches"
kinds of brandy alcohol,Informational,1300,29,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Popular products"
the brandy,Navigational,1300,66,0.70,"Sitelinks, Reviews, Image pack, Video, Video carousel, Knowledge panel, Related searches"
whats brandy made from,Informational,1300,24,0.01,"Featured snippet, Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches"
american brandy,Informational,1000,8,0.94,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products"
best brandy brands,Commercial,1000,27,0.26,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
brendy,Informational,1000,66,0.20,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
cooking brandy,Informational,1000,15,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches"
mexican brandy,Informational,1000,8,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
what does brandy taste like,Informational,1000,16,0.02,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
brandy bottle,Informational,880,14,0.50,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
copper and kings brandy,Commercial,880,18,1.33,"Sitelinks, Reviews, Video, Video carousel, People also ask, Related searches, Popular products"
what is a brandy,Informational,880,32,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
whats brandy,Informational,880,29,0.01,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
brands of brandy,Commercial,720,17,0.24,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
brandy abv,Informational,720,17,0.03,"Sitelinks, AI Overview, Video, People also ask, Related searches"
brandy aging,Informational,720,26,0.00,"AI Overview, Video, People also ask, Related searches"
brandy alcohol brands,"Informational, Transactional",720,31,0.24,"Sitelinks, Image, Image pack, People also ask, Related searches, Popular products"
brandy alcohol percentage,Informational,720,17,0.03,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
brandy booze,Informational,720,25,0.29,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches, Popular products"
brandy flavors,Informational,720,13,0.53,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products"
brandy liquor brands,Commercial,720,27,0.22,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
brandy melville american flag sweater,"Informational, Commercial",720,20,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
german brandy,Informational,720,16,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Popular products"
grape brandy,Commercial,720,14,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products"
how to make brandy,Informational,720,16,0.03,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches"
italian brandies,Informational,720,9,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches"
shop brandy,Navigational,720,60,2.11,"Sitelinks, Reviews, Video, People also ask, Local pack, Related searches, Popular products"
top brandy brands,Commercial,720,30,0.26,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products"
best brandy alcohol,Commercial,590,24,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Popular products"
best brandy to drink,Commercial,590,24,0.34,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
brandg,Navigational,590,90,0.45,"Sitelinks, Reviews, Image pack, Video, People also ask, Related searches, Popular products"
brandy alcohol content,Informational,590,30,0.03,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
brandy beverage,Informational,590,44,0.21,"Sitelinks, Reviews, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
brandy france,Informational,590,45,0.00,"Sitelinks, Reviews, Image pack, People also ask, Discussions and forums, Related searches"
brandy liqueur,Informational,590,17,0.48,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
brandy meaning,Informational,590,41,0.00,"AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches"
brandy types of,Informational,590,30,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
brandy.,Navigational,590,84,0.45,"Sitelinks, Reviews, Video, Video carousel, Related searches, Popular products"
define brandy,Informational,590,44,0.01,"AI Overview, Video, People also ask, Related searches"
difference between brandy and whiskey,Informational,590,20,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
drinking brandy,Informational,590,26,0.21,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches"
good brandy brands,Commercial,590,19,0.26,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
good types of brandy,Commercial,590,30,0.26,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches, Popular products"
how do you drink brandy,Informational,590,16,0.18,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
how to consume brandy,Informational,590,5,0.03,"Featured snippet, Sitelinks, Video, Video carousel, People also ask, Discussions and forums, Related searches"
how to drink a brandy,Informational,590,10,0.18,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
is hennessy brandy,Informational,590,21,0.00,"AI Overview, Video, People also ask, Related searches, Popular products"
premium brandy,"Informational, Commercial",590,17,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
what is brandy made of,Informational,590,32,0.01,"AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
brandy flavor,Informational,480,10,0.36,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
brandy melville website,Navigational,480,90,0.98,"Sitelinks, Reviews, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
brandy mexico,Informational,480,7,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
brandy spirit,"Informational, Transactional",480,28,0.29,"Sitelinks, Reviews, Image pack, Video, Short videos, People also ask, Knowledge panel, Related searches, Popular products"
brandy the drink,Informational,480,20,0.21,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products, Things to know"
brandy whiskey,Informational,480,32,0.00,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
copper & kings american brandy,Transactional,480,14,1.33,"Sitelinks, Reviews, Image, Video, Video carousel, Related searches, Popular products"
copper and kings american brandy,Navigational,480,10,1.06,"Sitelinks, Image, Video, Discussions and forums, Related searches, Popular products"
difference between whiskey and brandy,"Informational, Commercial",480,21,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
distilled wine,Informational,480,18,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
great brandy,Commercial,480,25,0.34,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
is brandy wine,Informational,480,23,0.02,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Knowledge panel, Related searches"
what is brandy made out of,Informational,480,21,0.01,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
where is brandy from,Informational,480,54,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
alcohol percentage brandy,Informational,390,15,0.03,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
best brand of brandy,Commercial,390,29,0.19,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
bradny,Navigational,390,90,0.45,"Sitelinks, Reviews, Image, Video, Video carousel, People also ask, Related searches, Popular products"
brandy a whisky,Informational,390,19,1.27,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
brandy brand,Informational,390,50,0.24,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products"
brandy color,Informational,390,13,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches, Popular products"
brandy famous brands,Commercial,390,26,0.37,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Popular products"
brandy high quality,Commercial,390,30,0.89,"Sitelinks, Reviews, Image, Video, Video carousel, People also ask, Related searches, Popular products"
