Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
courvoisier,Navigational,22200,25,0.65,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
courvoisier cognac,Navigational,6600,34,0.40,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
cognaçais,Informational,5400,30,0.00,"AI Overview, Video carousel, People also ask, Related searches"
courvoisier vsop,Informational,2900,10,0.61,"AI Overview, Reviews, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
courvoisier sign,Informational,2400,33,0.00,"AI Overview, Image, Image pack, Video carousel, People also ask, Related searches"
cognac pronunciation,Informational,1900,27,0.00,"AI Overview, Reviews, Video, Short videos, People also ask, Related searches"
pass the courvoisier,"Informational, Transactional",1900,44,0.00,"Image pack, Video, People also ask, Knowledge panel, Related searches, People also search, See results about"
courvoisier vsop cognac,"Informational, Transactional",1600,19,0.61,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
couversier,"Navigational, Commercial",1600,14,2.11,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
courvoisier terrier sign,Informational,1300,32,0.00,"AI Overview, Image, People also ask, Related searches"
courvoisier vs cognac,Commercial,1300,11,1.94,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
song pass the courvoisier,Informational,1300,43,0.00,"Video, Short videos, People also ask, Knowledge panel, Related searches, People also search"
courvoisier xo,"Informational, Commercial",1000,15,0.85,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
covesier,Navigational,1000,33,2.11,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
courvoisier cream,Informational,880,23,0.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches"
courvoisier vs,Commercial,880,14,0.68,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Popular products"
courvoisier law,Informational,720,34,0.00,"AI Overview, Image pack, Video carousel, People also ask, Related searches"
courvoisier's sign,Informational,720,32,0.00,"AI Overview, Image, Image pack, Video carousel, People also ask, Related searches"
busta rhymes pass the courvoisier,"Informational, Transactional",590,41,0.00,"Reviews, Video, Short videos, People also ask, Knowledge panel, Related searches, People also search"
cognac courvoisier,Commercial,590,29,3.89,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
courvoisier koniak,Informational,590,16,0.40,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
courvoisier pronunciation,Informational,590,26,0.00,"AI Overview, Reviews, Video, People also ask, Related searches"
pass courvoisier,"Informational, Transactional",590,45,0.00,"Image pack, Video, People also ask, Knowledge panel, Related searches, People also search"
what is courvoisier,Informational,590,16,0.00,"AI Overview, Image pack, People also ask, Related searches"
courvoisier cognac vsop,Informational,480,18,0.61,"Sitelinks, Reviews, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
courvoisier cognac xo,Commercial,480,13,0.67,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
courvoisier liquor,Informational,480,13,0.52,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
