Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
glenfiddich,Navigational,22200,40,0.76,"Sitelinks, AI Overview, Video, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches, Things to know"
glenfiddich 12,"Informational, Commercial",12100,18,0.53,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
glenfiddich 14,"Informational, Commercial",5400,20,0.53,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know"
glenfiddich 18,"Informational, Commercial",5400,21,0.65,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
glenfiddich 15,"Informational, Commercial",3600,12,0.59,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
glyn fiddich,Navigational,3600,32,0.76,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products, Things to know"
glenfiddich scotch,"Navigational, Commercial",2900,41,0.60,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
glenfiddich 21,"Informational, Commercial",2400,12,0.74,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products, Things to know"
glenfiddich distillery scotch,"Informational, Transactional",2400,41,0.60,"Sitelinks, Reviews, Video, People also ask, Knowledge panel, Related searches"
glenfiddich scotch whisky,"Informational, Transactional",1900,30,0.60,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
glenfiddich whiskey,"Informational, Commercial",1600,17,0.89,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches, Popular products, Things to know"
uisque glenfiddich,Transactional,1600,31,0.89,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
glenfiddich distillery,Informational,1300,37,2.16,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Knowledge panel, Related searches, Things to know"
glenfish,Navigational,1300,31,0.76,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
glindfich,Informational,1300,31,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
distillerie glenfiddich,"Informational, Transactional",1000,27,2.66,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Knowledge panel, Related searches, Things to know"
glenfiddich 16,"Informational, Commercial",1000,10,0.39,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
glenfiddich distillery malt whisky,Transactional,1000,46,0.75,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
glenfiddich glenfiddich,"Informational, Commercial",1000,18,2.66,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Popular products, Things to know"
glenfiddich single malt,Commercial,1000,25,0.75,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
glenfiddich single malt scotch whisky,Informational,1000,25,0.66,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
glenfiddich whisky,"Navigational, Commercial",1000,25,0.61,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Popular products"
glenfidich,"Informational, Commercial",1000,30,0.99,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
glenlivet vs glenfiddich,Commercial,720,18,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
glenfiddich 16 aston martin,Commercial,590,7,0.62,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Popular products"
glenfiddich 12 price,Transactional,480,9,0.60,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
glenfiddich 12 year scotch whisky,"Informational, Transactional",480,15,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
glenfiddich 30,Commercial,480,16,1.37,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
glenfiddich aston martin,Commercial,480,8,0.78,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Popular products"
glenfiddich gran reserva 21,Commercial,480,10,0.66,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
glenfiddich grand cru,"Informational, Commercial",480,13,0.63,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products"
glenfiddich pronunciation,Informational,480,26,0.00,"Sitelinks, Reviews, Video, People also ask, Related searches"
glenfiddich single malt scotch,Commercial,480,21,0.66,"Sitelinks, Video, People also ask, Related searches, Popular products"
glenfiddich single malt whisky,"Informational, Transactional",480,8,0.63,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
glenfiddich whisky price,Transactional,480,5,0.58,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
glenfidditch,"Navigational, Commercial",480,41,0.76,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
glan fidish,Informational,390,19,0.00,"Sitelinks, Reviews, Image, Image pack, Video, Video carousel, People also ask, Related searches"
glen scotch,Informational,390,7,0.52,"Sitelinks, AI Overview, Image pack, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products"
glen whiskey,"Informational, Commercial",390,11,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
glenfiddich 12 year,"Informational, Transactional",390,14,1.42,"Sitelinks, Reviews, Image pack, Video, People also ask, Knowledge panel, Related searches"
glenfiddich 12 year old,Informational,390,12,1.58,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches"
glenfiddich 14 year,Commercial,390,12,0.46,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Popular products"
glenfiddich 21 gran reserva,Commercial,390,7,0.71,"Sitelinks, AI Overview, Reviews, Image, Video, Short videos, People also ask, Related searches, Popular products"
glenfiddich distillery tour,Navigational,390,18,1.89,"Sitelinks, Reviews, Image, Video, People also ask, Knowledge panel, Related searches"
glenfiddich vat 01,Informational,390,17,0.88,"Sitelinks, AI Overview, Video, People also ask, Related searches"
glenfiddich vs glenlivet,Commercial,390,5,0.00,"Sitelinks, AI Overview, Video, People also ask"
cost of glenfiddich 12,"Informational, Commercial",320,6,0.60,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products"
d whisky,Commercial,320,20,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
glen scotch whisky,"Informational, Commercial",320,11,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
glenfiddich 12 sherry cask,Commercial,320,8,1.04,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products"
glenfiddich 15 solera,"Informational, Commercial",320,10,0.47,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
glenfiddich 19,Commercial,320,18,1.06,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
glenfiddich 26,Commercial,320,15,1.11,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
price for glenfiddich 12,Transactional,320,5,0.60,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products"
visit glenfiddich distillery,Navigational,320,23,2.00,"Sitelinks, Reviews, Video, People also ask, Knowledge panel, Related searches"
whisky glenfiddich,Commercial,320,14,1.34,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
wshiki,Informational,320,32,4.86,"Sitelinks, AI Overview, Reviews, Video, Video carousel"
brand website glenfiddich bourbon barrel 14 year scotch,"Navigational, Transactional",260,15,0.00,"Sitelinks, Reviews, Related searches"
glen fiddich,"Navigational, Commercial",260,32,0.99,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
glenfiddch,"Navigational, Commercial",260,40,0.76,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
glenfiddich 14 years price,Transactional,260,11,0.39,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products"
glenfiddich 15 year,Commercial,260,6,1.48,"Sitelinks, Image, Video, Related searches, Popular products"
glenfiddich 15 years,Informational,260,16,1.48,"Sitelinks, AI Overview, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products"
glenfiddich 18 price,Transactional,260,7,0.64,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products"
glenfiddich 25,"Informational, Commercial",260,20,1.00,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches"
glenfiddich grand cru 23,Informational,260,8,0.60,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products"
glenfiddich malt whisky,Transactional,260,18,0.75,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
glenfiddich perpetual collection vat 01,"Informational, Commercial",260,4,1.49,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
glenfiddich price,Transactional,260,8,0.39,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
glenfiddich pronunciación,Informational,260,25,0.00,"Reviews, Video, Short videos, People also ask, Related searches"
glenfiddich tour scotland,"Navigational, Transactional",260,15,2.00,"Sitelinks, People also ask, Knowledge panel, Related searches"
glenwich,Navigational,260,46,3.30,"Sitelinks, Reviews, Image pack, Video carousel, Knowledge panel, Related searches"
scotch glenfiddich,"Navigational, Commercial",260,16,0.60,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
whiskey glenfiddich,"Navigational, Commercial",260,14,0.77,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
12 year glenfiddich,"Informational, Transactional",210,17,0.71,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
30 yr old glenfiddich,Commercial,210,16,1.18,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
aston martin glenfiddich,Commercial,210,7,0.52,"Sitelinks, Video, Short videos, People also ask, Related searches, Popular products"
brand website glenfiddich malt scotch,Informational,210,32,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
glenfiddich 12 total wine,"Informational, Transactional",210,25,0.41,"Sitelinks, Reviews, Image, Image pack, People also ask, Related searches, Popular products"
glenfiddich 12 years,Informational,210,13,1.42,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel"
glenfiddich 12 years price,Transactional,210,8,0.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products"
glenfiddich 14 bourbon barrel reserve,Commercial,210,5,0.49,"Sitelinks, AI Overview, Reviews, Image, Video, Video carousel, People also ask, Related searches, Popular products"
glenfiddich 14 review,Commercial,210,2,0.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
glenfiddich 15 solera reserve,Commercial,210,9,0.87,"Sitelinks, AI Overview, Reviews, Image, Video, Video carousel, People also ask, Related searches, Popular products"
glenfiddich 18 years,Commercial,210,15,0.76,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
glenfiddich 21 year,Commercial,210,6,1.22,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches, Popular products"
glenfiddich 23,Commercial,210,14,0.95,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
glenfiddich 30 year old,"Informational, Transactional",210,15,0.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
glenfiddich bourbon barrel 14 year scotch,Commercial,210,9,0.00,"Sitelinks, Image, People also ask, Related searches, Popular products"
glenfiddich fire and cane,"Informational, Commercial",210,10,0.79,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Popular products"
glenfiddich pronounce,Informational,210,25,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
glenfiddich scotch whiskey,"Navigational, Commercial",210,14,0.60,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
glenlivet 12 vs glenfiddich 12,Commercial,210,3,0.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
glennfiddich,Navigational,210,29,0.99,"Sitelinks, AI Overview, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
whisky single malt glenfiddich,"Informational, Commercial",210,13,0.75,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
glanfidich,Navigational,170,29,0.99,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
glenfedish,"Navigational, Commercial",170,32,0.76,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
glenfiddich 12 cost,"Informational, Commercial",170,6,0.60,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products"
glenfiddich 12 vs glenlivet,"Informational, Commercial",170,7,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
glenfiddich 125th anniversary edition price,Navigational,170,10,0.00,"Sitelinks, AI Overview, Reviews, Video, People also ask"
