Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
hennessy,Navigational,165000,63,0.81,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Related searches, Popular products"
jill hennessy,Informational,40500,53,0.00,"Image, Short videos, People also ask, Knowledge panel, Top stories, Discussions and forums, Related searches, People also search"
hennessy carolina,Informational,22200,50,0.00,"Image, Video carousel, People also ask, Knowledge panel, Related searches, People also search"
hennessey,Navigational,18100,67,0.81,"Sitelinks, Video carousel, People also ask, Related searches, Popular products"
hennessy cognac,"Navigational, Commercial",18100,60,0.49,"Sitelinks, AI Overview, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products"
hennessy vsop,Informational,18100,10,0.66,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
hennesy,Navigational,18100,76,0.81,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products"
white hennessy,Commercial,18100,15,0.81,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
hennessy carolina's,"Informational, Transactional",14800,50,0.00,"Image, Short videos, People also ask, Knowledge panel, Related searches, People also search"
hennessy con,"Navigational, Commercial",14800,53,0.49,"Sitelinks, People also ask, Related searches, Popular products"
henny,Informational,14800,14,0.81,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
jill hennessy actor,Informational,14800,49,0.00,"Image, People also ask, Knowledge panel, Top stories, Discussions and forums, Related searches, People also search"
henessy,Navigational,12100,65,0.81,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products, Things to know"
hennessy xo,"Informational, Commercial",12100,27,0.80,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
lebron hennessy,"Informational, Transactional",12100,31,0.95,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
what is hennessy,Informational,9900,35,0.42,"AI Overview, Video carousel, Short videos, People also ask, Related searches"
hennessy white,Commercial,8100,15,0.95,"Sitelinks, AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
strawberry hennessy,Informational,8100,21,1.35,"AI Overview, Image, Image pack, Video carousel, Short videos, People also ask, Related searches, Popular products"
hennessy before:2025-09-09,Informational,6600,32,0.81,"Sitelinks, AI Overview, Popular products"
hennessy bottle,Commercial,6600,28,0.66,"Sitelinks, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
hennessy lexus,Navigational,6600,25,1.08,"Sitelinks, Local pack, Related searches"
hennessy paradis,"Informational, Commercial",6600,15,0.99,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
hennessy very special cognac,Informational,6600,19,0.56,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
hennesey,Navigational,5400,60,0.81,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products"
hennessy car,Navigational,5400,75,2.18,"Sitelinks, AI Overview, Image pack, Video carousel, People also ask, Discussions and forums, Related searches"
hennessy honda,Navigational,5400,34,2.17,"Sitelinks, People also ask, Knowledge panel, Related searches"
hennessy vs,Commercial,5400,20,1.06,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
hennessy vs cognac,Commercial,5400,17,0.56,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Popular products"
pure white hennessy,"Informational, Commercial",5400,13,0.84,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
actress jill hennessy,Informational,4400,49,0.00,"Image, People also ask, Knowledge panel, Top stories, Discussions and forums, Related searches, People also search"
henessey,Navigational,4400,75,0.81,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products"
hennessy a brandy,"Informational, Transactional",4400,44,0.42,"AI Overview, Video carousel, People also ask, Related searches, Popular products"
hennessy brandy,Navigational,4400,53,0.42,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
hennessy honda georgia,Navigational,4400,32,2.17,"Sitelinks, People also ask, Knowledge panel, Related searches"
hennessy is a brandy,"Informational, Commercial",4400,36,0.42,"AI Overview, People also ask, Discussions and forums, Related searches, Popular products"
hennessy is brandy,Commercial,4400,24,0.42,"AI Overview, Video, People also ask, Related searches, Popular products"
hennessy lexus of gwinnett,Navigational,4400,27,1.27,"Sitelinks, Knowledge panel, Related searches"
hennessy porsche,Navigational,4400,29,3.27,"Sitelinks, Image pack, Knowledge panel, Related searches"
hennessy porsche dealership,Navigational,4400,33,3.27,"Sitelinks, People also ask, Knowledge panel, Related searches"
hennessy pure white,Commercial,4400,12,0.88,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
jill hennessy actress,Informational,4400,50,0.00,"Image, People also ask, Knowledge panel, Top stories, Related searches, People also search"
lebron james hennessy,"Informational, Transactional",4400,30,0.89,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
hennessy cadillac,Navigational,3600,14,1.14,"Sitelinks, Video, Short videos, People also ask, Knowledge panel, Related searches, Ads bottom"
hennessy ford,Navigational,3600,59,1.13,"Sitelinks, Image pack, Knowledge panel, Related searches"
hennessy honda woodstock ga,Navigational,3600,31,2.17,"Sitelinks, People also ask, Knowledge panel, Related searches"
