Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
jaeden martell,Informational,74000,62,0.00,"Image, Video carousel, Short videos, People also ask, Knowledge panel, Top stories, Discussions and forums, Related searches, People also search"
martell,Navigational,18100,43,0.59,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Related searches, People also search, Popular products"
oberyn martell,Informational,18100,54,0.00,"Sitelinks, AI Overview, Image, Video carousel, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search"
martell blue swift,Informational,12100,11,0.61,"AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
martell vsop,Informational,12100,15,0.71,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
martell xo,"Informational, Commercial",12100,11,0.84,"AI Overview, Reviews, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
martelling,Informational,12100,52,0.59,"AI Overview, Video, People also ask, Related searches"
yann martel novels,Informational,12100,19,0.11,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches"
blue swift martell,Informational,9900,14,0.61,"AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
dan martell,Informational,9900,68,7.89,"Image, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches"
martell blue swift cognac,"Informational, Commercial",9900,10,0.61,"AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
martell vsop cognac,Informational,9900,11,0.60,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
arlene martel,Informational,8100,45,0.00,"Image, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search"
charles martel,"Informational, Transactional",8100,45,0.00,"Image, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search"
got oberyn martell,Informational,8100,52,0.00,"Sitelinks, Image, Video carousel, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search"
martell xxo,"Informational, Commercial",8100,13,0.00,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products"
sherri martel,"Informational, Transactional",8100,48,0.00,"Image, Video carousel, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search"
annie martell,Informational,6600,31,0.00,"Video carousel, Short videos, People also ask, Knowledge panel, Related searches, People also search"
elia martell,Informational,6600,31,0.00,"Image, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, See results about"
martell alcohol,Navigational,6600,12,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
