Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
pappy van winkle,"Navigational, Commercial",90500,38,0.78,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
pappy van winkle bourbon,"Informational, Commercial",18100,33,0.64,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
pappy,"Informational, Commercial",14800,37,1.25,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
pappy van winkle's family reserve,Informational,14800,32,0.78,"Sitelinks, People also ask, Knowledge panel, Related searches"
pappy van winkle 23,"Informational, Commercial",12100,18,0.46,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
old rip van winkle 10 year,"Informational, Commercial",6600,18,0.81,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
pappy van winkle 15,Informational,6600,26,0.89,"Sitelinks, AI Overview, People also ask, Knowledge panel, Related searches, Popular products"
rip van winkle bourbon,"Informational, Commercial",6600,23,0.65,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
van winkle,"Navigational, Commercial",5400,37,1.03,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
old rip van winkle,Navigational,4400,31,0.76,"Sitelinks, Short videos, People also ask, Knowledge panel, Related searches"
pappy van winkle 12 year,Informational,4400,13,0.83,"Sitelinks, AI Overview, Image, People also ask, Discussions and forums, Related searches, Popular products"
pappy van winkle 20 year,Informational,4400,20,0.70,"Sitelinks, AI Overview, Reviews, Image, People also ask, Related searches, Things to know"
van winkle 12 year,"Informational, Commercial",4400,17,0.83,"Sitelinks, AI Overview, Image, People also ask, Discussions and forums, Related searches, Popular products"
winkle van winkle,"Informational, Commercial",4400,28,1.03,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
10 year rip van winkle,"Informational, Commercial",3600,19,0.81,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
van winkle bourbon,"Informational, Commercial",3600,31,0.65,"Sitelinks, AI Overview, Image, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
old rip van winkle bourbon,"Navigational, Commercial",2900,19,0.65,"Sitelinks, People also ask, Related searches, Popular products"
pappy van winkle 10 year,"Informational, Commercial",2900,15,1.02,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products"
pappy van winkle 15 year,"Informational, Commercial",2900,23,1.02,"Sitelinks, AI Overview, Image, People also ask, Related searches, Popular products"
pappy van winkle 23 year,"Informational, Commercial",2900,17,0.69,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
pappy van winkle family reserve,Informational,2900,29,0.57,"Sitelinks, Image pack, People also ask, Knowledge panel, Related searches"
pappy van winkle whiskey,"Informational, Commercial",2900,32,0.58,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
pappy van winkle's,Informational,2900,37,0.57,"Sitelinks, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches"
van pappy whiskey,"Informational, Commercial",2900,33,0.64,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
pappy bourbon,Informational,2400,36,0.73,"Sitelinks, AI Overview, People also ask, Knowledge panel, Related searches, Popular products"
pappy van winkle price,Transactional,2400,13,0.31,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
pappy van winkle's family reserve 20 year,"Informational, Commercial",2400,18,0.70,"Sitelinks, AI Overview, Image, People also ask, Related searches, Popular products"
pappy whiskey,Informational,2400,37,0.67,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Related searches, Popular products"
rip van winkle rip van winkle,Informational,2400,34,0.43,"Sitelinks, AI Overview, Video carousel, People also ask, Knowledge panel, Related searches, People also search"
pappy 23,"Informational, Commercial",1900,18,0.78,"AI Overview, Image, Video, People also ask, Related searches, Popular products"
pappy van 23,Commercial,1900,13,0.46,"Sitelinks, Video, Video carousel, People also ask, Related searches, Popular products"
pappy van winkle's family reserve 15 year,Informational,1900,22,1.02,"Sitelinks, AI Overview, People also ask, Knowledge panel, Related searches, Popular products"
old rip van winkle 10 year bourbon,Commercial,1600,18,1.11,"AI Overview, People also ask, Discussions and forums, Related searches, Popular products"
papi van winkle,Informational,1600,38,0.59,"Sitelinks, Video, People also ask, Knowledge panel, Related searches"
pappy 15,Commercial,1600,23,1.08,"Sitelinks, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
pappy 15 year,Informational,1600,21,1.02,"Sitelinks, AI Overview, Short videos, People also ask, Knowledge panel, Related searches, Popular products"
pappy van winkle 15 chicago,Commercial,1600,3,0.00,"Sitelinks, Reviews, People also ask, Related searches, Popular products"
pappy van winkle cigars,Informational,1600,7,0.00,"Image, Image pack, Video, People also ask, Related searches"
van winkle 23,"Informational, Commercial",1600,17,0.46,"Sitelinks, AI Overview, Image, Video carousel, People also ask, Related searches, Popular products"
papi whiskey,"Informational, Commercial",1300,31,0.67,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
