Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
pierre ferrand dry curacao,Informational,2400,11,0.85,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Popular products"
pierre ferrand cognac,"Informational, Commercial",1900,16,0.72,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
pierre ferrand,"Navigational, Commercial",1000,15,1.28,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
pierre ferrand dry curaçao,Commercial,880,8,0.85,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products"
cognacio,Informational,720,34,0.00,"Sitelinks, Video, People also ask, Related searches"
ferrand cognac,Navigational,720,24,0.69,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
pierre ferrand 1840,"Informational, Commercial",720,13,1.07,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
cognac ferrand,"Navigational, Transactional",590,17,0.74,"Sitelinks, Reviews, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products"
ferrand,"Informational, Navigational",260,24,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
maison ferrand,Navigational,260,37,0.00,"Sitelinks, Image pack, Video, People also ask, Related searches"
maison ferrand rum,Informational,210,22,0.00,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
pierre ferrand 1840 cognac,Commercial,210,12,0.50,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products"
pierre ferrand ambre,Commercial,210,6,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
pierre ferrand dry curacao liqueur brand website,"Informational, Commercial",210,10,0.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
france rum,Commercial,140,12,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
pierre ferrand curacao,Commercial,140,9,0.00,"Sitelinks, Video, People also ask, Related searches, Popular products"
cognac pierre ferrand,"Informational, Commercial",110,14,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
maison ferrand cognac,"Informational, Transactional",110,26,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products"
pierre ferrand 1840 original formula cognac,Informational,110,13,0.00,"Sitelinks, AI Overview, Reviews, Image pack, Video, Knowledge panel, Discussions and forums, Related searches, Popular products"
pierre ferrand ambre cognac,"Informational, Commercial",110,10,0.00,"Sitelinks, AI Overview, Reviews, Image, Video, Video carousel, People also ask, Related searches, Popular products"
pierre ferrand reserve,Commercial,110,5,0.94,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
pierre patou cognac,Commercial,110,4,0.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products"
ferrand cognac 1840,"Informational, Commercial",90,11,0.88,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products"
pierre cognac,Informational,90,5,0.00,"Sitelinks, Reviews, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
pierre ferrand selection des anges,Commercial,90,2,0.00,"Sitelinks, Reviews, Image pack, Video, People also ask, Related searches, Popular products"
cognac pierre,"Informational, Commercial",70,4,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
ferrand cognac price,Transactional,70,4,0.00,"Sitelinks, Reviews, Image pack, Video, People also ask, Related searches, Popular products"
grand cru cognac,Informational,70,14,0.00,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
pierre ferrand 1er cru de ambre cognac,,70,,0.00,
ferrand 1840,Informational,50,12,0.00,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches"
maison ferrand gin,Navigational,50,10,0.00,"Sitelinks, Video, People also ask, Related searches"
pierre ferrand cognac 1840,Commercial,50,12,0.00,"Sitelinks, AI Overview, Reviews, Image, Video, Video carousel, People also ask, Related searches, Popular products"
pierre ferrand orange curacao,Commercial,50,10,0.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
pierre ferrand pineau des charentes,Informational,50,6,0.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
pierre ferrand selection des anges cognac,"Informational, Transactional",50,3,0.00,"Sitelinks, Reviews, Video, People also ask, Knowledge panel, Related searches, Popular products"
pierre ferrand yuzu curacao,Commercial,50,4,0.00,"Sitelinks, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
cangac,Informational,40,36,0.28,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
château de bonbonnet,"Informational, Transactional",40,4,0.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Knowledge panel, Related searches"
