Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
aberlour,"Informational, Transactional",2400,"0.65,0.84,0.84,0.84,0.84,1.00,1.00,0.84,0.65,0.65,0.65,0.84",38,0.50,0.94,"Sitelinks, AI Overview, Image, Video, People also ask, Knowledge panel, Related searches, People also search, Popular products",198
aberlour 12,Commercial,2400,"0.66,0.52,0.66,0.52,0.66,0.66,1.00,0.52,0.52,0.43,0.43,0.52",15,0.44,1.00,"AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products",194
aberlour a'bunadh,"Informational, Commercial",1600,"0.80,0.66,0.55,0.66,1.00,1.00,1.00,0.55,0.41,0.66,0.55,0.66",22,0.60,1.00,"AI Overview, Reviews, People also ask, Related searches, Popular products",217000
a'bunadh aberlour,Commercial,1300,"0.41,0.41,0.54,0.36,0.54,0.41,1.00,0.41,0.41,0.54,0.66,0.41",22,0.60,1.00,"Sitelinks, AI Overview, Reviews, People also ask, Related searches, Popular products",195
aberlour a bunadh,Informational,1300,"0.67,0.67,1.00,0.23,0.67,0.84,0.67,0.47,0.47,0.51,0.51,0.47",21,0.52,1.00,"AI Overview, Reviews, Image, People also ask, Related searches, Popular products",198
aberlour single malt 12,Informational,1300,"0.67,0.04,0.19,0.54,0.54,0.80,1.00,0.54,0.67,0.67,0.67,0.54",16,0.40,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products",196
aberlour scotch,"Informational, Navigational",720,"0.45,0.55,0.45,0.45,0.55,0.55,1.00,0.55,0.36,0.45,0.45,0.55",18,0.36,1.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",196
12 year aberlour,Commercial,590,"1.00,0.00,0.00,0.00,0.00,0.00,0.22,0.81,1.00,0.00,0.00,0.00",16,0.44,1.00,"Sitelinks, AI Overview, Image, Video carousel, People also ask, Related searches, Popular products",197
aberlour 16,"Informational, Commercial",590,"0.59,0.73,0.59,0.45,0.59,0.73,1.00,0.59,0.45,0.45,0.45,0.45",3,0.72,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",196
aberlour 18,Commercial,480,"0.54,0.54,0.54,0.35,0.54,0.80,1.00,0.43,0.28,0.28,0.28,0.43",14,0.87,1.00,"Sitelinks, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",195
aberlour distillery,"Navigational, Commercial",480,"1.00,0.82,0.82,0.82,0.55,0.65,0.65,0.55,0.82,0.65,0.82,0.65",29,1.00,0.11,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Popular products",172
aberlour distillery reserve 16,"Informational, Commercial",390,"1.00,0.00,0.00,0.00,0.00,0.00",4,0.00,0.00,"AI Overview, Video, People also ask, Discussions and forums, Related searches, Popular products",201
aberlour whiskey,"Informational, Navigational",390,"0.29,0.44,0.44,0.44,0.67,0.67,1.00,0.44,0.36,0.44,0.36,0.36",18,0.35,1.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products",196
aberlour abunadh,"Informational, Commercial",320,"0.00,0.00,0.45,0.00,0.45,1.00,0.03,0.00,0.00,0.00,1.00,0.03",15,0.60,1.00,"AI Overview, Reviews, People also ask, Related searches, Popular products",195
aberlour scotland,Informational,320,"0.66,0.66,0.81,0.54,0.35,0.44,0.44,1.00,0.66,0.66,0.28,0.66",32,2.25,0.02,"AI Overview, Image, People also ask, Knowledge panel, Related searches, People also search, Things to know",166
aberlour single malt scotch,"Navigational, Commercial",320,"0.44,0.35,0.44,0.44,0.54,0.54,1.00,0.54,0.54,0.66,0.54,0.66",8,0.44,1.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",198
abelour,"Informational, Transactional",260,"1.00,0.21,0.26,0.48,0.17,0.21,0.32,0.14,0.11,0.17,0.14,0.26",36,0.50,0.94,"AI Overview, Image, People also ask, Discussions and forums, Related searches, Popular products",198
aberlour moray,Informational,260,"0.66,0.29,0.29,0.43,0.35,0.54,0.54,1.00,0.66,0.81,0.81,0.66",17,2.25,0.02,"Image, People also ask, Knowledge panel, Related searches, People also search, Things to know",171
aberlour single malt,"Informational, Navigational",260,"0.54,1.00,1.00,0.54,0.35,0.43,0.54,0.54,0.43,0.54,0.54,0.54",18,2.10,0.24,"Sitelinks, AI Overview, Short videos, People also ask, Knowledge panel, Related searches, People also search, Popular products",199
scotch aberlour,"Navigational, Transactional",260,"0.24,0.24,0.24,0.29,0.36,0.29,0.65,0.55,0.24,0.18,0.29,1.00",13,0.36,1.00,"Sitelinks, Image pack, People also ask, Related searches, Popular products",193
aberlour scotch whiskey,Commercial,210,"1.00,0.15,0.29,0.81,0.19,0.15,0.23,0.19,0.19,0.23,0.15,0.19",16,0.36,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products",195
aberlour scotch whisky,"Informational, Transactional",210,"0.44,0.53,0.53,0.53,0.44,0.65,0.65,1.00,0.65,1.00,0.27,0.53",16,0.36,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products",197
aberlour united kingdom,Informational,170,"1.00,0.43,0.43,0.65,0.53,0.81,0.34,0.34,0.12,0.28,0.21,0.15",32,2.25,0.02,"People also ask, Knowledge panel, Related searches, People also search, Things to know",108
aberlour whisky,"Navigational, Transactional",170,"0.65,1.00,0.80,0.65,0.80,0.80,0.25,1.00,0.80,1.00,0.30,0.80",13,0.61,0.95,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, People also search, Popular products",196
charlestown of aberlour,Informational,170,"0.43,0.66,1.00,0.32,0.53,0.53,0.66,1.00,0.53,0.81,1.00,0.66",12,2.00,0.02,"AI Overview, Reviews, Image, Video, People also ask, Knowledge panel, Related searches, People also search, Things to know",105
aberlour 12 year,Commercial,140,"0.42,0.42,0.53,0.53,0.65,0.53,1.00,0.80,0.42,0.42,0.42,0.53",11,0.54,1.00,"AI Overview, Image, Video, People also ask, Related searches, Popular products",197
aberlour a bunadh alba,"Informational, Commercial",140,"0.63,0.83,0.63,0.63,0.51,0.83,1.00,0.63,0.51,0.83,0.83,0.51",5,0.75,0.97,"AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products",203
aberlour casg annamh,Commercial,140,"0.82,0.82,0.82,0.82,0.64,0.82,1.00,0.82,0.64,0.64,1.00,1.00",4,0.57,0.97,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products",198
aberlour hotel aberlour,"Navigational, Transactional",140,"0.02,0.39,0.02,0.02,0.02,0.02,0.02,1.00,0.02,0.02,0.02,0.14",29,1.68,0.61,"Sitelinks, People also ask, Knowledge panel, Related searches",100
aberlour scotch 16,"Informational, Commercial",140,"1.00,0.23,0.35,0.82,0.27,0.17,0.23,0.17,0.05,0.35,0.35,0.05",7,0.72,1.00,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products",195
