Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
angels envy,Informational,22200,"0.82,0.82,0.68,0.55,0.45,0.68,1.00,0.55,0.36,0.36,0.45,0.45",19,0.34,0.99,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches, Popular products",197
angel's envy bourbon,"Navigational, Commercial",14800,"0.44,0.29,0.44,0.44,0.54,0.67,1.00,0.24,0.13,0.29,0.10,0.10",26,0.38,1.00,"Sitelinks, AI Overview, Reviews, Image, Video, Video carousel, People also ask, Related searches, Popular products, Things to know",199
angel's envy bourbon whiskey,"Navigational, Commercial",14800,"0.05,0.29,0.29,0.44,0.01,0.13,1.00,0.44,0.54,0.66,0.54,0.44",17,0.38,1.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products",199
angel's envy,Informational,12100,"1.00,1.00,0.83,0.83,0.54,0.67,0.54,0.67,0.67,0.54,0.67,0.17",31,0.34,0.99,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products",195
angel's envy distillery,Navigational,9900,"0.36,0.54,0.81,1.00,0.81,0.19,0.81,0.36,0.66,0.54,0.81,0.66",35,0.39,0.43,"Sitelinks, Reviews, Image, Video, Video carousel, Short videos, People also ask, Knowledge panel, Related searches",172
angels envy bourbon,"Informational, Navigational",8100,"0.28,0.28,0.28,0.22,0.19,0.36,0.44,0.67,0.67,0.81,1.00,1.00",17,0.38,1.00,"Sitelinks, AI Overview, Reviews, Image, Video, Video carousel, Short videos, People also ask, Related searches, Popular products, Things to know",201
angel's envy distillery louisville,Navigational,5400,"0.01,0.03,0.05,0.00,0.08,0.00,1.00,0.44,0.00,1.00,1.00,0.54",34,0.39,0.43,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Knowledge panel, Related searches",170
angel's envy rye,Informational,5400,"0.67,0.67,0.67,0.54,0.44,0.54,1.00,0.54,0.35,0.24,0.15,0.19",20,0.43,1.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products",151
angel envy bourbon,"Navigational, Commercial",4400,"0.29,0.44,0.29,0.36,0.36,0.54,0.54,0.29,0.23,0.23,0.36,1.00",16,0.38,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know",197
angel's envy triple oak,Informational,4400,"1.00,0.81,0.44,0.35,0.35,0.66,0.81,0.35,0.29,0.19,0.00,0.29",12,0.44,1.00,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products",189
angel's envy bourbon.,"Navigational, Commercial",3600,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",29,0.38,1.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products",198
angel's envy whiskey,"Informational, Navigational",3600,"0.36,0.24,0.36,0.29,0.36,0.44,1.00,0.54,0.44,0.19,0.24,0.19",16,0.42,1.00,"Sitelinks, AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products, Things to know",200
angel envy,Navigational,2900,"0.67,0.81,0.81,0.53,0.81,1.00,0.81,0.67,1.00,0.67,0.81,1.00",19,0.34,0.99,"Sitelinks, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products",198
envy near me,Transactional,2900,"0.00,0.00,0.04,0.00,0.01,0.01,0.01,1.00,0.01,0.01,0.01,0.01",35,0.85,0.34,"Reviews, Video, People also ask, Local pack, Related searches",200
angels envy rye,"Informational, Commercial",2400,"1.00,0.15,0.15,0.15,0.15,0.19,0.30,0.11,0.11,0.15,0.30,0.04",27,0.43,1.00,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products",194
angel envy distillery,Navigational,1900,"0.22,0.81,0.42,0.36,0.42,0.42,0.36,0.14,0.53,0.53,0.28,1.00",37,0.39,0.43,"Sitelinks, Reviews, Video, Short videos, People also ask, Knowledge panel, Related searches",183
angles envy,"Informational, Navigational",1900,"0.36,0.20,0.30,0.36,0.36,0.43,1.00,0.43,0.54,0.36,0.54,0.65",20,0.37,0.98,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Popular products",190
angel envy whiskey,Navigational,1600,"0.10,0.19,0.10,0.15,0.19,0.36,1.00,0.19,0.15,0.15,0.03,0.13",16,0.42,1.00,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",199
angel's envy cask strength,Commercial,1600,"0.19,0.16,0.19,0.16,0.23,1.00,0.53,0.23,0.16,0.12,0.19,0.16",18,1.00,1.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know",193
angel's envy tour,"Informational, Navigational",1600,"0.82,1.00,0.55,0.34,0.44,0.55,0.07,0.20,0.44,0.24,0.03,0.03",31,0.79,0.87,"Sitelinks, Reviews, Video, Video carousel, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches",164
angels envy triple oak,"Informational, Commercial",1600,"0.66,0.24,0.16,0.13,0.24,0.18,1.00,0.10,0.13,0.29,0.44,0.24",11,0.44,1.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",189
angel's envy single barrel,Commercial,1300,"0.54,0.41,0.54,0.67,0.41,0.37,1.00,0.54,0.16,0.29,0.37,0.16",8,0.43,0.94,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",183
angel's envy triple oaked,Commercial,1300,"0.00,0.00,0.00,0.02,0.00,0.00,1.00,0.04,0.36,0.08,0.00,0.00",10,0.44,1.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",197
bourbon distilleries in louisville ky,Commercial,1300,"1.00,1.00,0.62,0.81,0.81,0.55,1.00,0.81,0.81,0.62,0.62,0.81",40,0.51,0.34,"Sitelinks, Reviews, People also ask, Local pack, Discussions and forums, Related searches",137
angel bourbon,"Informational, Commercial",1000,"0.82,0.55,0.82,0.82,0.45,0.82,1.00,0.82,0.61,0.61,0.82,0.61",9,0.69,1.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",193
angel whiskey,Informational,1000,"0.37,0.52,0.46,0.46,0.46,0.46,1.00,0.52,0.37,0.37,0.52,0.46",9,0.70,1.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Popular products",192
angeles envy,Informational,1000,"0.00,0.00,0.66,0.66,0.66,0.66,1.00,0.66,0.66,0.66,0.79,0.79",49,0.37,0.98,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Popular products",193
angels envy distillery,"Informational, Transactional",1000,"0.66,0.16,0.05,0.09,0.18,0.02,0.07,0.05,0.23,0.11,1.00,0.07",29,0.31,0.34,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Knowledge panel, Related searches",181
angels envy whiskey,"Informational, Navigational",1000,"0.55,0.34,0.28,0.10,1.00,0.55,0.66,0.28,0.24,0.24,0.07,0.14",15,0.42,1.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products, Things to know",192
angel bourbon whiskey,Commercial,880,"0.55,0.24,0.30,0.55,0.62,0.62,1.00,0.81,0.45,0.45,0.45,0.62",26,0.76,1.00,"Sitelinks, Video, People also ask, Related searches, Popular products",124
angel's envy distillery east main street louisville ky,Navigational,880,"0.11,0.16,0.05,0.84,0.13,0.00,0.46,0.46,0.68,1.00,0.84,0.68",22,0.56,0.15,"Sitelinks, Reviews, Image, Video, People also ask, Knowledge panel, Related searches",116
angel's envy distillery kentucky,Navigational,880,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",37,0.39,0.43,"Sitelinks, Video, Short videos, People also ask, Knowledge panel, Related searches",10
angel's envy finished rye,Commercial,880,"0.41,0.41,0.41,0.37,0.41,0.29,1.00,0.24,0.20,0.16,0.20,0.20",16,0.38,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",190
angels and envy,"Navigational, Transactional",880,"0.46,0.37,0.46,0.37,0.31,1.00,0.84,0.52,0.31,0.25,0.37,0.46",19,0.71,1.00,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products",197
angelsenvy,Navigational,880,"0.00,0.00,0.29,0.43,0.29,0.43,1.00,0.00,0.00,0.00,0.00,0.13",23,0.34,0.99,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Popular products",198
angel envy rye,Commercial,720,"0.08,1.00,0.29,0.08,0.04,0.79,0.13,0.08,0.42,0.08,0.42,0.08",7,0.43,1.00,"Sitelinks, Image, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches, Popular products",192
angel's envy bottled in bond,Commercial,720,"0.07,0.07,0.08,0.30,0.44,0.44,1.00,0.24,0.13,0.16,0.16,0.13",11,0.68,1.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",182
angel's envy bourbon price,Transactional,720,"0.20,0.16,0.24,0.20,0.24,1.00,0.54,0.20,0.13,0.16,0.16,0.16",8,0.43,0.93,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products",196
angel's envy distillery tour,"Informational, Transactional",720,"0.54,1.00,0.54,0.36,0.30,0.10,0.16,0.10,0.07,0.10,0.13,0.16",31,0.85,0.68,"Sitelinks, Reviews, Image, Video, People also ask, Knowledge panel, Related searches",108
angel's envy price,Transactional,720,"1.00,0.75,0.67,0.56,0.44,0.36,0.56,0.44,0.36,0.44,0.56,0.22",7,0.33,0.78,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",20
angel's envy rye whiskey,"Informational, Commercial",720,"0.31,0.37,0.31,0.37,0.37,0.16,1.00,0.31,0.25,0.31,0.31,0.37",15,0.48,1.00,"Sitelinks, AI Overview, Reviews, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products",189
angels evy,Informational,720,"0.00,0.00,0.41,0.54,0.41,0.79,1.00,0.00,0.00,0.00,0.00,0.01",25,0.37,0.98,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Popular products",197
angel envy triple oak,Commercial,590,"1.00,0.55,0.67,0.45,0.45,0.45,0.76,0.36,0.24,0.20,0.16,0.30",7,0.44,1.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Popular products",194
angel's,Informational,590,"0.31,1.00,0.25,0.00,0.06,0.00,0.00,0.00,0.52,0.37,0.85,0.85",89,0.59,0.03,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Local pack, Related searches",41800000
angel's envy bourbon review,Commercial,590,"0.75,0.44,0.36,0.36,0.44,0.00,1.00,0.36,0.19,0.22,0.28,0.28",7,0.36,0.50,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",174
angel's envy cellar collection,Commercial,590,"1.00,0.68,0.68,0.45,0.55,0.25,0.68,0.25,0.16,0.18,0.11,0.16",13,1.18,1.00,"Sitelinks, Image, Video, Short videos, People also ask, Related searches, Popular products",196
angel's envy peach smash,Informational,590,"1.00,0.41,1.00,0.54,0.03,0.01,0.00,0.01,0.00,0.01,0.01,0.02",12,0.00,0.08,"Image, Image pack, Video, Video carousel, People also ask, Recipes, Related searches",178
angel's envy private barrel bourbon 750ml,Informational,590,"1.00,0.15",,0.00,0.00,"Sitelinks, AI Overview, Reviews, Video, Related searches",189
