Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
applejack,Informational,27100,"0.55,0.82,0.55,0.67,1.00,0.67,0.67,0.67,0.67,0.67,0.82,0.82",53,1.14,0.01,"AI Overview, Reviews, Image, Video carousel, People also ask, Local pack, Knowledge panel, Discussions and forums, Related searches, Popular products"
apple jack,Informational,14800,"0.54,0.66,0.66,0.81,0.81,0.66,0.54,0.66,0.66,0.81,1.00,0.81",33,1.22,0.17,"AI Overview, Image, Image pack, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
apple brandy,Informational,8100,"1.00,0.10,0.10,0.10,0.20,0.29,0.20,0.13,0.08,0.07,0.07,0.08",20,0.45,0.90,"Sitelinks, AI Overview, Image, Video, People also ask, Recipes, Related searches, Popular products"
applejack liquor,"Navigational, Commercial",3600,"0.82,0.52,0.66,0.52,1.00,0.52,1.00,0.66,1.00,0.66,0.66,0.52",57,1.28,0.26,"Sitelinks, AI Overview, Image pack, People also ask, Local pack, Related searches, Popular products"
applejack liquors,Navigational,3600,"0.52,1.00,0.66,0.66,0.82,0.43,1.00,0.43,0.52,0.52,0.82,0.82",67,1.28,0.26,"Sitelinks, Local pack, Related searches, Popular products"
laird's applejack,Navigational,2900,"0.24,0.44,0.53,0.44,0.44,0.44,1.00,1.00,0.66,0.53,0.44,0.66",33,0.34,0.50,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
applejack brandy,Navigational,2400,"0.54,0.81,0.54,0.29,0.54,0.54,1.00,1.00,0.36,0.16,0.29,0.36",36,0.45,0.90,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products, Things to know"
applejack wine,"Navigational, Commercial",1900,"0.05,0.35,0.23,0.07,0.03,0.23,0.35,1.00,0.08,0.08,0.12,0.16",50,1.37,0.06,"Sitelinks, Image pack, People also ask, Local pack, Related searches"
apple liquor,Commercial,1600,"0.45,0.45,0.65,0.65,1.00,1.00,1.00,0.30,0.25,0.34,0.55,0.55",31,1.10,0.89,"Sitelinks, AI Overview, Image pack, Video, People also ask, Local pack, Recipes, Discussions and forums, Related searches, Popular products"
calvados apple brandy,"Informational, Commercial",1600,"0.29,0.36,0.54,0.54,0.81,1.00,0.43,0.22,0.10,0.13,0.10,0.16",9,0.37,1.00,"Sitelinks, AI Overview, Image, People also ask, Related searches, Popular products, Things to know"
kilian apple brandy,"Informational, Transactional",1600,"0.67,0.55,0.67,0.79,0.41,0.79,0.55,1.00,0.55,0.67,0.30,0.67",18,0.43,1.00,"Reviews, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches"
lairds,Informational,1600,"0.79,0.67,0.54,0.67,0.79,0.67,0.54,0.67,0.54,0.67,0.54,1.00",24,2.06,0.77,"Sitelinks, AI Overview, People also ask, Related searches"
apple brandy',Informational,1300,"1.00,0.10,0.10,0.12,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00",18,0.63,0.91,"Sitelinks, AI Overview, Video, People also ask, Recipes, Related searches, Popular products"
applejack and applejack,Informational,1300,"0.00,0.00,1.00,0.05,0.00,0.05,0.01,0.00,0.00,0.01,0.00,0.00",43,0.00,0.01,"AI Overview, Image, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches"
applejack wine spirits,Navigational,1300,"0.00,0.00,0.00,0.29,0.66,0.66,1.00,0.00,0.00,0.00,0.00,0.00",58,1.37,0.06,"Sitelinks, People also ask, Local pack, Related searches"
american brandy,"Informational, Commercial",1000,"0.52,0.46,0.46,0.37,0.52,1.00,1.00,0.52,0.52,0.31,0.31,0.37",9,0.94,0.14,"AI Overview, Image, People also ask, Related searches, Popular products"
apple brandy kilian,"Informational, Transactional",1000,"0.55,1.00,1.00,0.55,1.00,0.76,0.76,0.34,0.55,0.28,1.00,1.00",18,0.39,1.00,"Reviews, Image, Video, People also ask, Knowledge panel, Discussions and forums, Related searches"
applejack drink,Informational,1000,"0.46,0.52,0.52,0.84,0.46,1.00,0.52,0.31,0.46,0.52,0.46,0.46",28,0.43,0.25,"Sitelinks, AI Overview, Image, Video, People also ask, Knowledge panel, Recipes, Discussions and forums, Related searches, People also search"
french apple brandy,"Informational, Commercial",1000,"0.46,0.52,0.52,0.37,0.68,0.68,1.00,1.00,0.31,0.37,0.46,0.31",31,1.23,0.08,"AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
laird & company applejack,Navigational,1000,"0.05,0.02,0.02,0.02,0.04,0.04,0.08,0.24,0.66,1.00,1.00,0.00",23,0.00,0.01,"Sitelinks, People also ask, Related searches"
apple brandy on the rocks,Commercial,880,"0.44,0.56,0.77,1.00,0.68,0.77,1.00,0.68,0.56,0.56,0.68,0.77",26,0.48,1.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products"
apple jacks wine,"Navigational, Commercial",880,"0.07,0.01,0.07,1.00,0.03,0.05,0.05,0.07,0.05,0.05,0.05,0.03",29,2.37,0.31,"Sitelinks, People also ask, Local pack, Related searches, Popular products"
