Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
armagnac,Informational,14800,27,0.07,"Sitelinks, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
armagnacaise,Informational,12100,14,0.07,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches"
armagnac vs cognac,"Informational, Commercial",1600,17,0.01,"Sitelinks, AI Overview, Image pack, Video, Short videos, People also ask, Related searches, Things to know"
armanac,Informational,1300,22,0.07,"Sitelinks, Image, Video, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
brandy from france,"Informational, Commercial",1300,16,0.00,"AI Overview, Video, Video carousel, People also ask, Related searches, Popular products"
armagnac brandy,Commercial,1000,13,0.06,"Sitelinks, Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
what is armagnac,Informational,1000,30,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
brandy and armagnac,Informational,880,23,0.06,"Sitelinks, AI Overview, Video, People also ask, Recipes, Discussions and forums, Related searches, Popular products"
difference between cognac and brandy,"Informational, Commercial",880,10,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
is cognac the same as brandy,"Informational, Commercial",720,21,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
armangac,"Informational, Commercial",590,26,0.07,"Sitelinks, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
bas armagnac,"Informational, Commercial",590,3,0.62,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
what is armagnac liquor,Informational,590,25,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
armagnac liquor,Commercial,480,16,0.02,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
french brandies,Informational,480,16,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
armagnacs,Informational,390,37,0.14,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
cognac vs armagnac,"Informational, Commercial",390,17,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
what is cognac made from,Informational,390,11,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
what's the difference between cognac and brandy,"Informational, Commercial",320,19,0.02,"Sitelinks, AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches"
armagnac pronunciation,Informational,260,18,0.00,"AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
