Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
basil hayden,"Navigational, Commercial",40500,"0.37,0.29,0.37,0.37,0.37,0.37,1.00,0.44,0.29,0.44,0.29,0.29",34,1.64,1.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",3600000
basil hayden bourbon,Navigational,18100,"0.36,0.44,0.30,0.30,0.44,0.44,1.00,0.36,0.30,0.30,0.30,0.44",36,0.47,1.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",890000
basil hayden's bourbon whiskey,Navigational,18100,"0.54,0.24,0.44,0.54,0.00,0.00,0.81,1.00,0.54,0.00,0.81,0.44",29,1.64,1.00,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products",196
basil hayden whiskey,Navigational,4400,"0.44,0.36,0.29,0.29,0.36,0.44,1.00,0.55,0.29,0.44,0.36,0.36",25,0.50,1.00,"Sitelinks, AI Overview, Image pack, Related searches, Popular products",
basil hayden's,Navigational,4400,"0.05,0.04,0.05,0.05,0.05,0.00,0.08,0.08,0.00,0.00,1.00,0.00",32,1.64,1.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",199
basil hayden's bourbon,"Navigational, Commercial",4400,"0.54,1.00,1.00,0.15,0.10,0.00,1.00,0.44,0.00,0.01,0.00,0.01",29,0.47,1.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",196
basil haydens bourbon,"Navigational, Commercial",4400,"0.44,0.44,0.31,0.13,0.44,0.44,1.00,0.50,0.31,0.44,0.50,0.44",29,0.47,1.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",197
basil hayden toast,Informational,3600,"0.55,0.45,0.45,0.45,0.45,0.55,1.00,0.45,0.34,0.34,0.28,0.34",13,0.38,1.00,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Popular products",193
basil haydens,Navigational,2400,"0.36,0.44,0.16,1.00,0.16,0.19,0.16,0.13,0.10,0.16,0.19,1.00",34,1.64,1.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products",197
basil hayden's kentucky straight bourbon whiskey,Commercial,1000,"0.24,0.20,1.00,0.54,0.36,0.00,1.00,0.41,0.24,0.54,0.66,1.00",26,1.07,0.87,"Sitelinks, Reviews, Image, People also ask, Related searches, Popular products",197
basil and hayden,"Informational, Navigational",880,"1.00,0.17,0.14,0.03,0.07,0.03,0.07,0.03,0.03,0.03,0.03,0.10",31,1.64,1.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches",138
basil haden,Navigational,880,"0.51,0.16,0.23,0.16,0.47,0.84,1.00,0.67,0.19,0.51,0.37,0.23",30,1.64,1.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",1190
basil hayden's whiskey,"Informational, Commercial",880,"0.43,0.01,1.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04",26,0.50,1.00,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",197
basil hayden bourbon price,Transactional,720,"0.55,0.36,0.36,0.45,0.45,0.45,1.00,0.45,0.23,0.36,0.36,0.55",7,0.67,0.92,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products",201
basil hayden bourbon review,Commercial,720,"0.36,0.29,0.29,0.36,0.44,0.55,1.00,0.44,0.29,0.29,0.29,0.29",11,0.75,0.40,"AI Overview, Reviews, Video carousel, People also ask, Related searches",176
basil hayden kentucky straight bourbon whiskey,Informational,720,"0.31,0.37,0.31,0.25,0.31,1.00,0.68,0.37,0.25,0.31,0.37,0.52",23,1.07,0.87,"Sitelinks, AI Overview, Reviews, Image, People also ask, Related searches, Popular products",192
basil hayden price,Transactional,720,"0.28,0.24,0.17,0.28,0.17,0.28,1.00,0.41,0.10,0.14,0.14,0.14",7,0.67,0.92,"Sitelinks, Reviews, People also ask, Related searches, Popular products",202
basil hayden's kentucky straight bourbon,Commercial,720,"0.25,0.20,0.52,0.20,0.25,0.00,1.00,0.46,0.31,0.46,0.52,0.68",24,1.07,0.87,"Sitelinks, Reviews, Image, Image pack, People also ask, Related searches, Popular products",194
basil hayden cost,"Informational, Commercial",590,"0.31,0.31,0.71,0.48,0.48,0.38,1.00,0.60,0.48,0.60,0.71,0.88",8,0.67,0.92,"Sitelinks, AI Overview, Reviews, Image, People also ask, Related searches, Popular products",202
basil hayden kentucky straight bourbon,"Navigational, Commercial",590,"0.13,0.24,0.24,0.24,0.55,1.00,0.81,0.45,0.16,0.45,0.55,1.00",23,1.20,0.81,"Sitelinks, AI Overview, Reviews, Image, People also ask, Related searches, Popular products",257
basil hayden review,Commercial,590,"0.19,0.19,0.19,0.16,0.54,0.54,1.00,0.46,0.29,0.24,0.29,0.29",11,0.75,0.40,"AI Overview, Reviews, Video carousel, People also ask, Related searches",180
basil hayden toasted,Informational,590,"0.63,0.88,0.25,0.38,0.63,1.00,1.00,0.50,0.63,0.25,1.00,0.25",6,0.38,1.00,"Sitelinks, AI Overview, Reviews, Video carousel, People also ask, Related searches, Popular products",190
basil bourbon,Navigational,480,"0.67,0.67,0.67,0.82,0.67,0.67,1.00,0.67,0.44,0.44,0.54,0.54",23,0.61,1.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",196
basil hayden bourbon whiskey,"Navigational, Commercial",480,"0.42,0.11,0.05,0.00,0.26,0.63,0.26,0.11,0.63,1.00,0.00,0.16",16,0.90,1.00,"Sitelinks, AI Overview, Image, People also ask, Related searches, Popular products",197
basil hayden rye,"Informational, Transactional",480,"0.44,0.56,0.30,0.37,0.37,0.44,1.00,0.37,0.20,0.25,0.37,0.44",11,0.55,1.00,"AI Overview, Reviews, People also ask, Related searches, Popular products",200
basil hayden's whiskey price,Transactional,480,"0.60,0.00,0.06,0.13,0.48,0.00,0.71,0.60,0.71,0.48,0.60,1.00",14,0.67,0.92,"Sitelinks, AI Overview, Reviews, People also ask, Related searches, Popular products",196
bayden,Informational,480,"0.04,0.03,0.02,0.30,0.01,0.04,0.04,0.10,0.54,0.24,1.00,0.54",35,0.75,0.33,"AI Overview, Image, People also ask, Knowledge panel, Related searches, People also search",126
bourbon basil hayden,"Navigational, Commercial",480,"0.38,0.38,0.38,0.38,0.63,0.88,1.00,0.38,0.25,0.38,0.38,0.38",27,1.25,1.00,"Sitelinks, Image, People also ask, Related searches, Popular products",199
080686012405,Informational,390,"0.00,0.01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",3,1.76,0.86,"Sitelinks, People also ask",112
8068601240,Informational,390,"0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",3,0.00,0.00,Sitelinks,107
basil hayden distillery,Informational,390,"0.82,1.00,0.67,1.00,1.00,0.82,1.00,0.67,0.67,0.67,0.82,1.00",32,1.16,0.16,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches",161
basil hayden label,"Navigational, Commercial",390,"0.29,0.29,0.29,0.36,0.44,0.44,1.00,0.44,0.36,0.44,0.44,0.44",6,0.00,0.09,"Sitelinks, Image pack, People also ask, Related searches, Popular products",202
basil hayden liquor,"Navigational, Commercial",390,"1.00,0.35,0.25,0.40,0.65,0.40,0.20,0.35,0.20,0.50,0.50,0.35",18,1.64,1.00,"Sitelinks, Image pack, People also ask, Related searches, Popular products",199
basil hayden whiskey price,Transactional,390,"0.33,0.67,0.43,0.43,0.67,0.53,0.80,0.53,0.23,0.43,0.43,1.00",15,0.67,0.92,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products",187
basil whiskey,"Informational, Commercial",390,"0.66,0.66,0.66,0.66,0.81,0.81,1.00,0.44,0.29,0.44,0.66,0.66",28,0.45,1.00,"Sitelinks, AI Overview, Image pack, People also ask, Recipes, Related searches, Popular products",193
who makes basil hayden,Informational,390,"0.54,0.54,0.54,0.54,0.66,0.81,1.00,0.66,0.54,0.54,0.54,0.54",30,3.00,0.18,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",196
basel hayden,Navigational,320,"0.55,1.00,0.45,0.00,0.00,0.00,0.07,0.55,0.00,0.00,0.34,0.17",29,1.64,1.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",197
basil hayden's toast,"Informational, Commercial",320,"0.31,0.38,0.00,0.00,0.38,0.00,1.00,0.38,0.77,0.00,1.00,0.00",11,0.38,1.00,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Popular products",195
basil.hayden,"Navigational, Commercial",320,"1.00,0.88,0.50,0.00,0.38,0.00,0.25,0.88,0.50,0.00,0.38,0.63",30,1.64,1.00,"Sitelinks, AI Overview, Video, People also ask, Popular products",197
basel haden,"Navigational, Commercial",260,"0.03,0.84,0.11,0.00,1.00,0.00,0.00,0.84,0.00,0.00,0.05,0.14",29,1.64,1.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",197
basil hayden 10 year bourbon,"Informational, Commercial",260,"0.24,0.29,0.29,0.44,0.29,0.66,1.00,0.36,0.19,0.36,0.54,1.00",6,0.58,1.00,"AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products",189
basil hayden bourbon distillery,"Informational, Commercial",260,"0.53,0.43,0.53,1.00,1.00,0.82,0.82,0.43,0.53,0.66,0.66,0.82",28,1.16,0.16,"Sitelinks, AI Overview, Reviews, People also ask, Related searches, Popular products",180
hayden basil,Navigational,260,"0.53,0.29,0.13,0.44,0.53,0.36,1.00,0.29,0.53,0.36,0.44,0.80",31,1.73,0.97,"Sitelinks, AI Overview, Image pack, People also ask, Related searches",137
hayden bourbon,Navigational,260,"0.67,0.54,0.54,0.43,0.54,1.00,1.00,0.67,0.67,0.43,0.54,0.67",28,1.50,1.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products, Things to know",201
hayden bourbon whiskey,"Informational, Commercial",260,"0.44,0.54,0.35,0.35,0.44,0.54,1.00,0.44,0.35,0.28,0.35,0.35",27,1.50,1.00,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products",201
hayden whiskey,Informational,260,"0.35,0.44,0.54,0.35,0.44,0.54,1.00,0.35,0.23,0.28,0.28,0.35",28,1.71,0.99,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products",196
is basil hayden a good bourbon,Informational,260,"0.03,0.07,0.09,0.09,0.02,0.48,1.00,0.48,0.32,0.32,0.03,0.39",12,2.21,0.27,"AI Overview, Reviews, People also ask, Discussions and forums, Related searches, Popular products",183
