Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
bourbon,Informational,135000,67,0.39,"Sitelinks, AI Overview, Reviews, Image, People also ask, Local pack, Knowledge panel, Discussions and forums, Related searches, Popular products, Things to know"
buffalo trace bourbon,Navigational,49500,56,0.42,"Sitelinks, AI Overview, People also ask, Knowledge panel, Related searches, Popular products"
blanton's bourbon,Navigational,40500,32,0.81,"Sitelinks, AI Overview, Image pack, People also ask, Local pack, Discussions and forums, Related searches, Popular products"
bourbon and beyond,"Informational, Navigational",40500,52,0.62,"Sitelinks, Instant answer, Image pack, Knowledge panel, Related searches, People also search"
bourbon whiskey,"Informational, Commercial",40500,25,0.39,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
eagle rare bourbon,"Navigational, Commercial",40500,35,0.59,"Sitelinks, AI Overview, Image, People also ask, Discussions and forums, Related searches, Popular products"
bourbon chicken,Informational,33100,39,0.09,"Image, Video, People also ask, Knowledge panel, Recipes, Discussions and forums, Related searches, People also search, Popular products"
bourbon street,Informational,33100,70,0.36,"Reviews, Image, People also ask, Discussions and forums, Related searches"
bulleit bourbon,"Navigational, Commercial",33100,24,0.66,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products"
weller bourbon,Navigational,27100,19,0.43,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
bourbon chicken recipe,Informational,22200,39,0.07,"Sitelinks, Image, Video, People also ask, Recipes, Discussions and forums, Related searches"
bourbon st new,Informational,22200,86,0.58,"AI Overview, Video carousel, People also ask, Local pack, Discussions and forums, Related searches"
bourbon steak,Commercial,22200,62,0.48,"Sitelinks, Image, People also ask, Local pack, Related searches"
four roses bourbon,Navigational,22200,53,0.70,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products"
woodford reserve bourbon,Navigational,22200,44,0.50,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products"
basil hayden bourbon,Navigational,18100,25,0.47,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
basil hayden's bourbon whiskey,Navigational,18100,20,1.64,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products"
best bourbon,Commercial,18100,29,0.31,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Popular products"
blanton bourbon,Navigational,18100,33,0.81,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
blanton's single barrel bourbon,"Informational, Commercial",18100,23,0.84,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products"
bourbon old fashioned drink,Informational,18100,28,0.81,"AI Overview, Reviews, Image, Image pack, People also ask, Recipes, Related searches"
bourbon orleans hotel,"Informational, Navigational",18100,52,1.05,"Sitelinks, AI Overview, Short videos, People also ask, Knowledge panel, Related searches"
bourbon street new orleans,Informational,18100,21,0.58,"Sitelinks, AI Overview, Reviews, Image, Video, Video carousel, Discussions and forums, Related searches"
jim beam bourbon,Navigational,18100,44,1.66,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products"
kentucky bourbon trail,Navigational,18100,46,0.58,"Sitelinks, AI Overview, Image pack, People also ask, Related searches"
kentucky straight bourbon whiskey,"Informational, Commercial",18100,23,1.09,"AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
knob creek,Navigational,18100,45,2.46,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products"
pappy van winkle bourbon,"Informational, Commercial",18100,35,0.64,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
penelope bourbon,Navigational,18100,20,0.41,"Sitelinks, People also ask, Related searches, Popular products"
stagg bourbon,"Informational, Commercial",18100,26,0.71,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products, Things to know"
whisky bourbon blanton's,"Informational, Commercial",18100,30,0.81,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
willett bourbon,Navigational,18100,11,0.41,"Sitelinks, AI Overview, Reviews, People also ask, Related searches, Popular products"
1792 bourbon,Navigational,14800,26,0.40,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products"
angel's envy bourbon,"Navigational, Commercial",14800,21,0.38,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
