Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
cognac cocktails,Informational,6600,20,0.12,"Sitelinks, AI Overview, Video, People also ask, Related searches"
camus cognac,Informational,1900,21,0.52,"Sitelinks, AI Overview, Reviews, Video, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
camus xo,Informational,480,12,0.87,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products"
camus cognac xo,"Informational, Transactional",390,21,0.89,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
camus cognac vsop,"Informational, Transactional",320,11,0.73,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products"
camus xo cognac,Informational,260,9,0.89,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
camus vs cognac size: 375 ml,Commercial,210,3,0.00,"Sitelinks, Reviews, Video, People also ask, Popular products"
camus vsop,"Informational, Commercial",210,10,0.64,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
cognac camus xo,"Informational, Transactional",210,9,0.87,"Sitelinks, Reviews, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products"
camus borderies xo,"Informational, Transactional",140,5,0.81,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
camus vsop cognac,Transactional,140,6,0.73,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products"
cognac camus,"Navigational, Transactional",140,19,0.00,"Sitelinks, Reviews, Video, People also ask, Knowledge panel, Related searches, Popular products"
conyacs,Informational,140,41,0.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
camus borderies vsop,Commercial,110,6,0.00,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
camus liquor,Navigational,110,16,0.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
camus vs cognac,Commercial,110,5,0.00,"Sitelinks, Reviews, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
best cognac drinks,Commercial,90,20,0.12,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches, Popular products"
camus cognac price,Transactional,90,5,0.00,"Sitelinks, Reviews, Image pack, Video, People also ask, Related searches, Popular products"
camus napoleon cognac,"Informational, Commercial",90,17,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
camus x.o,Transactional,90,7,0.89,"Sitelinks, Reviews, Video, Video carousel, People also ask, Related searches, Popular products"
camus xo price,Commercial,90,6,0.00,"Reviews, People also ask, Related searches, Popular products"
cognac wikipedia,"Navigational, Transactional",90,56,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
congac cocktails,Informational,90,19,0.12,"Sitelinks, AI Overview, Reviews, Video, People also ask, Recipes, Related searches"
napoleon camus cognac,"Informational, Commercial",90,5,0.00,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products"
xo camus cognac,"Informational, Commercial",90,6,0.89,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
