Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
canadian whiskey,"Informational, Commercial",14800,18,0.94,"AI Overview, Image, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
canadian club,Navigational,5400,45,0.69,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches"
canadian futbol club,Informational,5400,88,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
canadian club whiskey,"Informational, Commercial",2900,10,0.64,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
canadian kennel club,Navigational,2400,35,1.63,"Sitelinks, People also ask, Related searches"
blended canadian whiskey,"Informational, Commercial",1900,12,0.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
canadian club whisky,Navigational,1900,11,0.94,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
canadian club canadian whisky,"Navigational, Commercial",1600,10,0.64,"Sitelinks, Reviews, Image pack, People also ask, Related searches, Popular products"
brands of canadian whiskey,"Informational, Commercial",590,13,0.38,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
canadian club 1858,"Informational, Commercial",590,7,0.32,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
canadian mist canadian whisky brand website,Informational,590,13,0.00,"People also ask, Related searches"
crown royal canadian whisky brand website,Navigational,590,36,0.00,"Sitelinks, People also ask, Related searches"
real canadian wholesale club vernon,Informational,590,14,0.00,"People also ask, Knowledge panel, Related searches"
canadian blended whisky,"Informational, Commercial",480,14,0.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
canadian ltd whisky brand website,"Informational, Commercial",480,30,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
canadian whisky brand,Informational,480,19,0.10,"Sitelinks, Image, People also ask, Related searches, Popular products"
whiskey canadian club,"Navigational, Commercial",480,31,0.64,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
canadian alcohol,Informational,390,6,1.15,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
canadian club wiskey,"Informational, Commercial",390,5,0.63,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products"
club whiskey,"Informational, Commercial",390,21,1.66,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
royal canadian yacht club,Navigational,390,11,4.77,"Sitelinks, Image, People also ask, Local pack, Knowledge panel, Related searches"
brand website select club pecan praline canadian whisky,Informational,320,3,0.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches"
canada club,Informational,320,43,0.92,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
canada house canadian whisky brand website,Informational,320,10,0.00,"AI Overview, People also ask, Related searches"
canadian liquor,Commercial,320,10,0.00,"Sitelinks, Image pack, People also ask, Local pack, Related searches, Popular products"
canadian ltd blended whisky,Commercial,320,9,0.00,"Sitelinks, Video, People also ask, Related searches, Popular products"
canadian ltd canadian whisky brand website,Informational,320,15,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
crown royal canadian whisky official website,Navigational,320,35,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
drink canadian,Informational,320,19,0.00,"AI Overview, Image pack, People also ask, Related searches, Popular products"
canadian booze,Informational,260,6,0.00,"AI Overview, Video, Video carousel, People also ask, Related searches"
canadian club canadian whisky official website,Navigational,260,13,0.00,"Sitelinks, People also ask, Related searches"
canadian club whiskey 1858,"Informational, Commercial",260,6,0.57,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
canadian mist brand website,Informational,260,13,0.00,"Reviews, Image pack, People also ask, Related searches"
real canadian wholesale club vernon bc,Informational,260,24,0.00,"People also ask, Knowledge panel, Related searches"
whisky canada,"Informational, Commercial",260,17,1.24,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
canadian club wholesale,"Navigational, Commercial",210,32,2.32,"Sitelinks, People also ask, Local pack, Related searches"
canadian ltd canadian whisky,"Informational, Commercial",210,8,0.00,"AI Overview, People also ask, Related searches, Popular products"
canadian strip club,Commercial,210,34,0.00,"People also ask, Local pack, Discussions and forums"
canadian strip clubs,Commercial,210,23,0.00,"Video, People also ask, Local pack, Discussions and forums"
canadian wholesale club,Navigational,210,36,0.00,"Sitelinks, People also ask, Local pack, Related searches"
royale club blended whiskey brand website,Informational,210,6,0.00,"Video, People also ask, Related searches"
what is canadian whiskey,Informational,210,13,0.04,"Sitelinks, AI Overview, Video carousel, People also ask, Discussions and forums, Related searches"
windsor canadian whisky brand website,"Informational, Navigational",210,5,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
canadian club 12 year,"Informational, Commercial",170,5,0.48,"AI Overview, Reviews, Image, Image pack, People also ask, Related searches, Popular products"
canadian kennel club dogs,"Informational, Navigational",170,37,0.00,"People also ask, Knowledge panel, Discussions and forums, Related searches, People also search"
canadian kennel club registration,Navigational,170,16,1.15,"Video, People also ask, Related searches"
colorado select club southern peaches canadian whisky,"Informational, Commercial",170,0,0.00,"Sitelinks, Related searches, Popular products"
real canadian wholesale club,Navigational,170,33,0.00,"Sitelinks, People also ask, Local pack, Knowledge panel, Related searches, People also search"
royal canadian whisky brand website,"Informational, Navigational",170,27,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
canadian american club,Navigational,140,10,0.00,"Sitelinks, Knowledge panel, Related searches"
canadian american club watertown,Navigational,140,10,0.00,"Sitelinks, Knowledge panel, Related searches"
canadian cl,Informational,140,53,0.00,"Video, Video carousel, People also ask, Discussions and forums, Related searches"
canadian club 1960,Informational,140,6,0.00,"Image, Image pack, Video, People also ask, Related searches"
canadian club glassware,Commercial,140,5,0.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
canadian club whiskey price,Transactional,140,4,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
canadian kennel club login,"Navigational, Transactional",140,4,0.00,Related searches
canadian whiskies,Commercial,140,27,1.24,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
candian whisky,"Informational, Commercial",140,17,0.94,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
texas crown club canadian whisky,"Informational, Commercial",140,7,0.00,"Sitelinks, AI Overview, Reviews, People also ask, Discussions and forums, Related searches, Popular products"
cactus club cafe first canadian place,Navigational,110,10,0.00,"Sitelinks, Knowledge panel, Related searches"
cactus club cafe first canadian place menu,Informational,110,20,0.00,"Image, Image pack, People also ask, Knowledge panel, Related searches"
cactus club toronto first canadian place,Navigational,110,10,0.00,"Sitelinks, People also ask, Knowledge panel, Related searches"
canadian american club watertown ma,Navigational,110,9,0.00,"Sitelinks, People also ask, Knowledge panel, Related searches"
canadian club barre,"Navigational, Transactional",110,10,0.00,"Sitelinks, People also ask, Knowledge panel, Related searches"
canadian club barre vt,Navigational,110,10,0.00,"Sitelinks, People also ask, Knowledge panel, Related searches"
canadian club blackberry,"Informational, Commercial",110,1,0.00,"Sitelinks, AI Overview, Image, Image pack, Related searches, Popular products"
canadian club canadian whiskey,Informational,110,17,0.64,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
canadian club drink,Informational,110,11,0.00,"AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
canadian club glasses,"Informational, Commercial",110,6,0.00,"Sitelinks, Image, Image pack, People also ask, Related searches, Popular products"
canadian club rye,"Informational, Commercial",110,10,0.52,"AI Overview, Image pack, People also ask, Related searches, Popular products"
canadian club whiskey glasses,Commercial,110,10,0.00,"People also ask, Related searches, Popular products"
cc whiskey,"Informational, Transactional",110,9,0.00,"Sitelinks, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
clearly canadian sam's club,Navigational,110,18,0.14,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
first canadian place cactus club,Navigational,110,21,0.00,"Sitelinks, People also ask, Knowledge panel, Related searches"
what is canadian club,Informational,110,20,0.00,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches"
100 rye canadian club,Informational,90,9,0.00,"AI Overview, Image pack, People also ask, Related searches, Popular products"
1858 canadian club whiskey,Informational,90,5,0.00,"Sitelinks, AI Overview, Image, People also ask, Related searches, Popular products"
