Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
chivas regal,Informational,18100,"0.55,0.55,0.55,0.55,0.55,0.55,1.00,0.55,0.44,0.44,0.44,0.55",25,0.56,0.95,"Sitelinks, AI Overview, Video, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products, Things to know",194
chivas whisky chivas,Commercial,12100,"0.54,0.00,0.06,0.44,0.67,0.81,1.00,0.67,0.67,0.81,0.67,0.44",34,0.56,0.95,"Sitelinks, People also ask, Discussions and forums, Related searches, Popular products",196
regal chivas whisky,Informational,12100,"0.54,0.00,0.06,0.44,0.67,0.81,1.00,0.67,0.67,0.81,0.67,0.44",35,0.56,0.95,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products",199
chivas regal 12,"Informational, Commercial",3600,"0.67,0.54,0.54,0.43,0.54,0.67,1.00,0.54,0.35,0.43,0.43,0.67",15,0.46,0.97,"AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",278
chivas regal 18,Informational,2900,"0.67,0.53,0.53,0.44,0.53,0.67,1.00,0.53,0.44,0.35,0.35,0.35",13,0.55,1.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products",201
chivas bottle,"Informational, Commercial",2400,"0.01,0.00,0.02,0.66,0.01,0.01,0.01,1.00,0.01,0.03,0.02,0.01",23,0.56,0.95,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",195
chivas whiskey,Informational,2400,"0.65,0.65,0.65,0.65,0.65,0.83,1.00,0.83,0.83,0.83,0.83,1.00",38,0.58,0.93,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products",198
чібас,Informational,1900,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.66",23,1.08,0.01,"Sitelinks, Video, People also ask",413
chivas bottles,Informational,1300,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",16,0.56,0.95,"Sitelinks, Image pack, People also ask, Related searches, Popular products",197
chivas brothers blend vs chivas regal,"Informational, Commercial",1300,"0.00,0.00,0.00,0.00,0.44,0.67,1.00,0.11,0.06,0.11,0.53,0.67",10,0.00,0.00,"Sitelinks, Image pack, People also ask, Related searches",221000
chivas regal whisky 12,"Informational, Commercial",1300,"1.00,0.00,0.29,0.83,0.83,0.03,0.06,0.66,0.20,0.83,0.03,0.03",14,0.53,0.99,"Sitelinks, AI Overview, Image pack, Video carousel, People also ask, Related searches, Popular products",198
scotch chivas regal 12,"Informational, Commercial",1300,"1.00,0.01,0.06,0.83,0.83,0.04,0.06,0.65,0.00,0.83,0.04,0.04",13,0.46,0.97,"AI Overview, Image, People also ask, Related searches, Popular products",196
chiovas,Informational,1000,"0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,1.00",50,0.78,0.33,"Short videos, Knowledge panel, Discussions and forums, Related searches",666
chivas bottle price,Commercial,1000,"1.00,0.05,0.44,0.80,0.80,1.00,1.00,0.62,0.44,0.44,0.62,0.00",20,0.37,0.81,"Sitelinks, People also ask, Related searches, Popular products",174
chivas regal 25,"Informational, Commercial",1000,"0.75,0.75,0.50,0.50,0.75,0.75,1.00,0.75,0.50,0.50,0.50,0.50",14,0.84,1.00,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",189
