Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
cognac,Commercial,110000,37,0.26,"Sitelinks, AI Overview, Image, Video, People also ask, Discussions and forums, Related searches"
hennessy cognac,"Navigational, Commercial",18100,29,0.49,"Sitelinks, AI Overview, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products"
louis xiii cognac,Navigational,14800,25,0.36,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products"
what is cognac,Informational,14800,27,0.01,"AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
cognac brands,"Informational, Commercial",12100,25,0.13,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
martell blue swift cognac,"Informational, Commercial",9900,9,0.61,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products"
martell vsop cognac,Informational,9900,11,0.60,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
louis 13 cognac,Navigational,8100,23,0.38,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products"
cognac cocktails,Informational,6600,20,0.12,"Sitelinks, AI Overview, Video, People also ask, Related searches"
cognac color,Informational,6600,22,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches, Things to know"
courvoisier cognac,Navigational,6600,14,0.40,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Things to know"
hennessy very special cognac,Commercial,6600,16,0.56,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
martell cognac vsop,"Informational, Commercial",6600,11,0.71,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
vsop cognac,"Informational, Commercial",6600,11,0.26,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Popular products, Things to know"
cognac vs brandy,Commercial,5400,10,0.01,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
cognac vsop france,"Informational, Commercial",5400,10,0.26,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Popular products"
cognaçais,Informational,5400,41,0.00,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
d'usse cognac,Navigational,5400,21,0.46,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
hennessy vs cognac,Commercial,5400,26,0.56,"Sitelinks, AI Overview, Reviews, Video, People also ask, Knowledge panel, Related searches, Popular products"
martell cognac,"Navigational, Commercial",5400,20,0.34,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
remy martin cognac,Informational,5400,28,0.82,"Sitelinks, AI Overview, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products"
best cognac,Commercial,4400,10,0.37,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products"
cognac east nyc,"Navigational, Transactional",4400,37,0.20,"Sitelinks, Reviews, Video, People also ask, Knowledge panel, Related searches"
congac,Commercial,4400,34,0.26,"Sitelinks, AI Overview, Image, Video, People also ask, Discussions and forums, Related searches"
louis 13 cognac price,Transactional,4400,18,0.19,"Sitelinks, AI Overview, Reviews, Video, People also ask, Knowledge panel, Related searches, Popular products"
