Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
crown royal,"Informational, Navigational",135000,"0.54,0.54,0.67,0.54,0.54,0.81,1.00,0.54,0.36,0.36,0.36,0.30",41,0.70,0.96,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
crown royal chocolate,"Informational, Commercial",27100,"0.04,0.06,1.00,0.45,0.45,0.24,0.30,0.11,0.07,0.06,0.06,0.06",21,0.45,1.00,"AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
crown royal marquis,Informational,18100,"0.54,0.54,0.36,0.30,0.20,0.20,1.00,0.67,0.54,0.36,0.30,0.25",22,0.23,1.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
chocolate crown royal,Informational,14800,"0.04,0.05,1.00,1.00,0.81,0.81,1.00,0.29,0.19,0.13,0.13,0.16",21,0.45,1.00,"AI Overview, Image, Image pack, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products"
crown total,Navigational,14800,"0.00,0.00,0.00,0.24,0.24,1.00,0.36,0.54,0.00,0.00,0.00,0.00",40,0.00,0.39,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products"
crown royal apple,"Informational, Commercial",12100,"1.00,0.81,0.67,0.67,1.00,0.81,1.00,1.00,0.81,0.67,0.67,0.81",10,0.59,0.99,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
royal crown,"Informational, Navigational",12100,"1.00,1.00,0.82,0.82,0.67,0.82,1.00,0.82,0.67,0.67,0.67,1.00",49,0.74,0.12,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Related searches"
crown liquor,Commercial,9900,"0.81,0.81,0.44,0.81,0.67,1.00,0.67,0.44,0.23,0.23,0.36,0.67",42,1.50,0.24,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Local pack, Knowledge panel, Related searches, Popular products"
crown royal blackberry,"Informational, Commercial",9900,"1.00,1.00,0.75,0.50,0.75,0.50,1.00,0.50,0.50,0.25,0.25,0.50",25,0.59,1.00,"Sitelinks, AI Overview, Reviews, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
crown royal flavors,Informational,9900,"0.55,0.67,0.67,0.67,0.82,0.82,1.00,0.82,0.44,0.44,0.67,0.82",33,0.19,0.98,"AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
