Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
what is crown royal,"Informational, Navigational",4400,"0.67,0.67,0.54,0.67,0.67,0.81,1.00,0.54,0.36,0.54,0.54,0.67",51,0.46,0.04,"Sitelinks, AI Overview, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
is crown royal whiskey,Informational,2400,"0.29,0.53,0.35,0.53,0.24,0.66,1.00,0.44,0.29,0.35,0.35,0.35",24,0.00,0.02,"Sitelinks, AI Overview, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search"
where is crown royal made,Informational,1600,"0.35,0.30,0.43,1.00,0.43,0.65,0.65,0.57,0.43,0.35,0.30,0.35",33,0.00,0.01,"Sitelinks, AI Overview, People also ask, Related searches"
how much is crown royal,Informational,1000,"0.52,0.52,0.52,0.46,0.68,0.68,1.00,0.46,0.46,0.46,0.46,0.46",17,0.38,0.40,"Sitelinks, People also ask, Related searches, Popular products"
what to mix with chocolate crown royal,Informational,1000,"0.00,0.00,0.30,0.79,1.00,0.54,0.79,0.30,0.20,0.16,0.66,1.00",24,0.00,0.01,"AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Discussions and forums, Related searches"
is crown royal bourbon,Informational,880,"0.30,0.30,0.24,0.30,0.36,0.54,1.00,0.41,0.30,0.30,0.36,0.20",10,0.46,0.05,"AI Overview, People also ask, Related searches"
is crown royal gluten free,Informational,880,"0.68,0.68,0.56,0.68,0.77,0.77,1.00,0.56,0.44,0.37,0.44,0.56",14,0.00,0.33,"AI Overview, People also ask, Related searches"
is crown whiskey,Informational,880,"0.20,0.24,0.05,1.00,1.00,0.41,0.30,0.12,0.11,0.30,0.30,0.36",31,0.00,0.02,"Sitelinks, AI Overview, Image pack, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search"
what type of liquor is crown royal,Informational,880,"0.62,0.55,0.13,0.36,1.00,1.00,0.36,0.62,0.62,0.29,0.44,0.62",20,0.00,0.04,"Sitelinks, AI Overview, People also ask, Related searches"
how much is a bottle of crown royal,"Informational, Commercial",720,"0.45,0.55,0.45,0.45,0.55,0.76,1.00,0.55,0.45,0.45,0.45,0.55",16,0.36,0.38,"Sitelinks, Video, People also ask, Related searches, Popular products"
is crown royal whisky,"Informational, Transactional",720,"1.00,1.00,0.00,0.68,0.16,0.12,0.46,0.37,0.68,0.76,0.24,1.00",34,0.00,0.01,"Sitelinks, Image pack, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
does crown royal go bad,Informational,590,"0.36,0.36,0.45,0.36,0.36,0.45,1.00,0.36,0.30,0.30,0.30,0.36",15,0.00,0.01,"AI Overview, Video carousel, People also ask, Related searches"
how much for crown royal bottle,"Informational, Commercial",590,"0.36,0.13,0.10,0.30,0.45,0.76,1.00,0.45,0.36,0.45,0.45,0.45",5,0.36,0.38,"Image, Image pack, People also ask, Related searches, Popular products"
how much is a bottle of crown royal whiskey,Informational,590,"0.36,0.13,0.10,0.30,0.45,0.76,1.00,0.45,0.36,0.45,0.45,0.45",24,0.36,0.38,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
how much is bottle of crown royal,"Informational, Commercial",590,"0.36,0.13,0.10,0.30,0.45,0.76,1.00,0.45,0.36,0.45,0.45,0.45",8,0.36,0.38,"Sitelinks, Video, People also ask, Related searches, Popular products"
what type of alcohol is crown royal,Informational,590,"0.54,0.54,0.54,0.67,0.54,0.67,1.00,0.54,0.44,0.54,0.67,0.81",31,0.00,0.03,"Sitelinks, AI Overview, People also ask, Related searches"
is crown royal whiskey gluten free,Informational,480,"0.36,0.54,1.00,0.54,0.36,0.67,1.00,0.44,0.36,0.44,0.44,0.54",6,0.00,0.33,"AI Overview, Reviews, People also ask, Related searches"
is royal crown cola still made,Informational,480,"0.54,0.66,0.81,0.66,0.66,0.81,0.81,0.81,0.66,1.00,0.81,0.66",43,0.00,0.01,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches"
what proof is crown royal,Informational,480,"0.66,0.66,0.66,0.66,0.66,0.81,1.00,0.81,0.54,0.66,0.54,0.44",24,0.00,0.05,"Sitelinks, AI Overview, People also ask, Related searches"
what to mix with blackberry crown royal,Informational,480,"0.67,0.67,0.67,0.54,0.54,0.67,1.00,0.54,0.33,0.29,0.21,0.21",16,1.49,0.03,"AI Overview, Image, Video carousel, People also ask, Recipes, Discussions and forums, Related searches"
who owns crown royal,Informational,480,"0.29,0.29,0.55,1.00,0.55,0.82,0.65,0.55,0.29,0.29,0.29,0.24",44,0.00,0.33,"Sitelinks, AI Overview, People also ask, Related searches"
does crown royal expire,Informational,390,"0.30,0.30,0.44,0.36,0.44,0.44,1.00,0.44,0.36,0.55,0.44,0.55",14,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
how much is a bottle of crown,Informational,390,"0.67,0.67,0.54,0.67,0.67,0.67,1.00,0.67,0.54,0.67,0.67,0.81",5,0.25,0.15,"Sitelinks, Video, People also ask, Related searches, Popular products"
how to train your dragon crown royal bottle,Informational,390,"1.00,0.16,0.08,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00",23,0.00,0.33,"Sitelinks, Image pack, Video carousel, People also ask, Related searches"
is crown royal a bourbon,Informational,390,"0.55,0.65,0.24,0.18,0.65,0.65,0.44,0.18,1.00,0.15,0.18,0.29",13,0.00,0.05,"Sitelinks, AI Overview, People also ask, Related searches"
is crown royal canadian,Informational,390,"0.31,0.44,0.81,1.00,0.31,1.00,1.00,1.00,0.50,0.63,0.44,0.50",23,0.00,0.33,"Sitelinks, AI Overview, People also ask, Related searches"
what is crown royal liquor,Informational,390,"0.54,0.34,1.00,0.54,0.66,0.81,1.00,0.81,0.54,0.66,0.81,0.81",24,0.00,0.05,"Sitelinks, AI Overview, People also ask, Related searches"
what liquor is crown royal,Informational,390,"1.00,0.28,1.00,0.19,0.36,0.36,0.28,0.44,0.14,0.36,0.36,0.56",24,0.00,0.05,"Sitelinks, AI Overview, People also ask, Related searches"
what to mix with crown royal,Informational,390,"0.67,0.67,0.67,0.56,0.67,0.83,1.00,0.83,0.56,0.56,0.56,0.56",11,0.89,0.04,"Sitelinks, AI Overview, Video, People also ask, Related searches"
