Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
dewar,Informational,9900,40,1.06,"AI Overview, Image pack, Video carousel, People also ask, Related searches, Popular products"
dewars,"Navigational, Commercial",8100,37,1.06,"Sitelinks, AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
john dewar and sons,Informational,6600,31,1.06,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
dewars white label,Informational,5400,13,0.65,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products"
dewars scotch,Navigational,4400,24,0.57,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
dewar's candy bakersfield california,Navigational,3600,43,0.59,"Sitelinks, Local pack, Related searches"
dewar's candy bakersfield,Navigational,2900,43,0.59,"Sitelinks, People also ask, Local pack, Related searches"
dewar's candy,Navigational,2400,44,0.59,"Sitelinks, Image pack, People also ask, Local pack, Related searches, Popular products"
dewar's candy shop,Navigational,2400,43,0.59,"Sitelinks, People also ask, Local pack, Related searches"
john dewar's scotch,Commercial,1900,9,0.57,"Sitelinks, People also ask, Related searches, Popular products"
wah guru chews for sale,"Informational, Transactional",1900,9,0.00,"Image, Image pack, Related searches"
dewars bakersfield,"Navigational, Commercial",1600,42,0.59,"Sitelinks, Local pack, Related searches, Popular products"
dewars scotch whiskey,Informational,1600,8,0.57,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
taffy near me,Transactional,1600,14,0.76,"Reviews, Image, People also ask, Local pack, Related searches"
wah guru chews for sale online usa,Informational,1600,10,0.00,"Sitelinks, Reviews, Related searches"
dewar's,"Informational, Commercial",1300,32,1.06,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
dewars whiskey,Navigational,1300,23,0.69,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
dewar's white label scotch whisky,"Informational, Commercial",1000,8,0.69,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
dewars 12,Commercial,1000,12,0.72,"AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
dewar's ice cream,Navigational,880,26,0.77,"Image pack, People also ask, Local pack, Related searches"
dewar's scotch,"Navigational, Commercial",880,24,0.57,"Sitelinks, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
dewar's white label,Commercial,880,6,0.65,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products"
dewars white label scotch,Informational,880,7,0.42,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
dewars bakersfield ca,Navigational,720,44,0.00,"Sitelinks, Local pack, Related searches"
dewar's bakersfield ca,"Navigational, Commercial",590,41,0.00,"Sitelinks, People also ask, Local pack, Related searches, Popular products"
dewar's scotch whisky,"Informational, Commercial",590,14,0.38,"Sitelinks, AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
dewars 12 years,"Informational, Commercial",590,8,0.37,"AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
dewars express bakersfield,Informational,590,31,0.00,"Sitelinks, Reviews, People also ask, Knowledge panel, Related searches"
dewar scotch,"Navigational, Commercial",480,33,0.57,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
dewars chews,Navigational,480,35,0.00,"Sitelinks, Image pack, Knowledge panel, Related searches, Popular products"
dewars menu,Navigational,480,2,0.54,"Image pack, Video, Related searches"
dewars whisky,Navigational,480,16,0.69,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
dewers,"Informational, Commercial",480,10,1.06,"AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
liquid nitrogen dewars,Informational,480,21,1.72,"AI Overview, Image, Image pack, People also ask, Related searches, Popular products, Ads bottom"
dewars candy,Navigational,390,40,0.00,"Sitelinks, Image pack, People also ask, Local pack, Related searches, Popular products"
dewar whiskey,"Navigational, Commercial",320,25,0.69,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
dewar whisky,Navigational,320,17,0.54,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
dewar's candy shop bakersfield,Navigational,320,40,0.00,"Sitelinks, People also ask, Local pack, Related searches"
dewar's white label scotch,Commercial,320,7,0.42,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
deware enterprises,Informational,320,7,1.45,Related searches
dewars 15 year old,"Informational, Commercial",320,6,0.00,"AI Overview, Image pack, People also ask, Related searches, Popular products"
dewars 18,"Informational, Commercial",320,5,0.98,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
dewars in bakersfield,Navigational,320,41,0.96,"Sitelinks, People also ask, Local pack, Related searches"
dewars taffy,Navigational,320,18,0.00,"Image pack, People also ask, Knowledge panel, Related searches"
dewers white label,Informational,320,10,0.65,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products"
dwars,Informational,320,27,0.00,"AI Overview, Image pack, People also ask, Related searches"
dewar's blended scotch whisky,"Informational, Commercial",260,10,0.00,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches, Popular products"
dewar's candy shop bakersfield ca,Navigational,260,40,0.00,"Sitelinks, People also ask, Local pack, Related searches"
deware funeral home,"Informational, Transactional",260,13,0.00,"Reviews, People also ask, Knowledge panel, Related searches"
dewars 21,Commercial,260,10,1.17,"Sitelinks, Reviews, Video, People also ask, Related searches, Popular products"
dewars bakersfield california,Navigational,260,41,0.00,"Sitelinks, People also ask, Local pack, Related searches"
dewars bakersfield menu,Transactional,260,18,0.54,"Image pack, People also ask, Local pack, Related searches"
dewars candies bakersfield,Navigational,260,41,0.90,"Sitelinks, People also ask, Local pack, Related searches"
dewars ice cream,Navigational,260,21,0.77,"Image pack, People also ask, Local pack, Related searches"
dewars liquor,"Navigational, Commercial",260,32,0.55,"Sitelinks, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
dewars ming ave,"Informational, Transactional",260,33,0.00,"Sitelinks, Reviews, People also ask, Knowledge panel, Related searches"
scotch whisky dewar's,"Informational, Commercial",260,20,0.57,"Sitelinks, AI Overview, Short videos, People also ask, Discussions and forums, Related searches, Popular products"
white label whiskey,"Informational, Commercial",260,8,1.18,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products"
white label whisky,"Informational, Commercial",260,7,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products"
candy store in bakersfield ca,Commercial,210,39,0.00,"Sitelinks, AI Overview, Reviews, People also ask, Local pack, Related searches"
dewar's 12 year,Commercial,210,10,0.37,"Sitelinks, Image, Image pack, People also ask, Related searches, Popular products"
dewar's white label scotch whisky brand website,Informational,210,18,0.00,"Sitelinks, Video, People also ask, Related searches"
dewars alcohol,Informational,210,28,0.00,"Sitelinks, Image pack, Video carousel, Short videos, People also ask, Related searches, Popular products"
dewars calloway,Navigational,210,33,0.00,"Sitelinks, Image pack, People also ask, Knowledge panel, Related searches, Popular products"
dewars express,Navigational,210,26,0.00,"Sitelinks, Image pack, People also ask, Knowledge panel, Related searches"
dewars scotch white label,"Informational, Commercial",210,4,0.42,"AI Overview, Reviews, Image, Image pack, People also ask, Related searches, Popular products"
dewars white label price,Transactional,210,7,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
dw davies,Navigational,210,25,0.00,"Sitelinks, Knowledge panel, Related searches"
whiskey dewars,Informational,210,14,0.69,"Sitelinks, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
white label scotch whisky,"Informational, Commercial",210,8,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
candy store bakersfield,Commercial,170,33,0.00,"Sitelinks, Reviews, People also ask, Local pack, Related searches"
dewar's ice cream bakersfield,Navigational,170,28,0.00,"Sitelinks, People also ask, Local pack, Related searches"
dewar's scotch official website,Informational,170,19,0.00,"AI Overview, Related searches"
dewar's scratched cask whiskey,Commercial,170,3,0.00,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products"
dewar's white label blended scotch,"Informational, Commercial",170,5,0.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
deware,"Informational, Transactional",170,12,0.00,"Reviews, Image, Image pack, Knowledge panel, Related searches"
dewars 12 year,Commercial,170,6,0.37,"AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
dewars 32,Commercial,170,9,1.33,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products"
dewars bakersfield ca calloway,Navigational,170,33,0.00,"Sitelinks, People also ask, Knowledge panel, Related searches"
dewars clubhouse,Commercial,170,31,0.00,"Reviews, Local pack, Related searches"
dewars distillery aberfeldy,"Navigational, Transactional",170,43,1.09,"Sitelinks, Reviews, Image pack, Video, People also ask, Knowledge panel, Related searches"
dewars distillery aberfeldy scotland,Navigational,170,23,1.09,"Sitelinks, People also ask, Knowledge panel, Related searches"
dewarts white label,Informational,170,6,0.65,"Sitelinks, AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
doers scotch,Commercial,170,9,0.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
duars,"Informational, Navigational",170,26,0.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches"
goldenrod taffy,Navigational,170,34,0.00,"Sitelinks, Video, People also ask, Knowledge panel, Related searches"
is dewars a good scotch,Informational,170,9,0.00,"AI Overview, Reviews, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
john dewars whisky,"Informational, Commercial",170,25,0.69,"Sitelinks, Image, Image pack, People also ask, Related searches, Popular products"
lola deware,"Informational, Transactional",170,26,0.00,"Image, People also ask, Knowledge panel, Related searches, People also search"
scotch whisky white label,Commercial,170,5,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
whiskey with white label,Commercial,170,10,1.39,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
whisky white label,"Informational, Commercial",170,7,1.39,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
bakersfield ice cream parlor,Commercial,140,32,0.00,"Sitelinks, Reviews, Image, People also ask, Local pack, Discussions and forums, Related searches"
d candy,"Informational, Commercial",140,5,0.00,"Sitelinks, AI Overview, Image, People also ask, Related searches, Popular products"
derw,Informational,140,50,0.00,"Sitelinks, AI Overview, Reviews, Image, Image pack, Related searches"
dewar's ice cream menu,Informational,140,17,0.00,"Image pack, People also ask, Related searches"
dewar's whiskey,"Navigational, Commercial",140,25,0.71,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
dewar's whiskey white label,Informational,140,3,0.00,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
dewar's white label whisky,"Informational, Commercial",140,6,0.00,"Sitelinks, AI Overview, Image, Image pack, Video carousel, People also ask, Related searches, Popular products"
dewars 18 year,Commercial,140,5,0.00,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
