Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
dusse,Navigational,33100,29,0.79,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
dusse liquor,Informational,8100,11,0.74,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
d'usse cognac,"Informational, Commercial",5400,21,0.46,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
dusse bottle,"Informational, Commercial",5400,15,0.83,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
d'usse,Navigational,4400,24,0.61,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
duce liquor,Informational,4400,20,0.43,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
d'usse the liquor,"Informational, Commercial",3600,17,0.74,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Popular products"
duss germany,Informational,3600,25,1.12,"AI Overview, Video, Video carousel, People also ask, Related searches"
d usse cognac vsop,Informational,2900,17,0.34,"Sitelinks, AI Overview, Image, Video carousel, People also ask, Related searches, Popular products"
d usse cognac,Informational,2400,16,0.46,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
d'usse vsop cognac,"Informational, Commercial",2400,20,0.34,"AI Overview, Video, People also ask, Related searches, Popular products"
dusse alcohol,Informational,2400,9,0.72,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
cognac d'usse vsop,"Informational, Commercial",1900,20,0.34,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products"
d usse,Navigational,1900,18,0.61,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
dusse cognac,Navigational,1900,24,0.46,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
bottle of dusse,"Informational, Commercial",1600,14,0.87,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
d usse vsop cognac,Informational,1600,13,0.34,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
duce alcohol,Informational,1600,15,1.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
dusse drink,Navigational,1600,22,0.99,"Sitelinks, AI Overview, Image pack, Short videos, People also ask, Related searches, Popular products"
dussee,Informational,1300,20,0.79,"AI Overview, Image pack, People also ask, Related searches, Popular products"
matt duss,Informational,1300,30,0.00,"Image, Image pack, Video carousel, People also ask, Knowledge panel, Top stories, Related searches, People also search"
doucet liquor,Informational,1000,22,0.38,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
duse liquor,Informational,1000,10,0.74,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
duss weeze,Informational,1000,29,0.00,"Reviews, People also ask, Knowledge panel, Related searches, People also search"
d ussé,Navigational,880,24,0.61,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
d'ussé,"Navigational, Commercial",880,11,0.61,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
dulce liquor,Informational,880,13,0.33,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
dusse xo,"Informational, Commercial",880,15,0.90,"AI Overview, Image, Video, People also ask, Related searches, Popular products"
jay z liquor,Informational,880,6,0.85,"Sitelinks, AI Overview, Image, Image pack, Video carousel, People also ask, Related searches, Popular products"
liquor by jay z,"Informational, Commercial",880,5,0.00,"Sitelinks, AI Overview, Image pack, Video carousel, People also ask, Related searches, Popular products"
alcohol dusse,"Navigational, Commercial",720,14,0.72,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
cognac d'usse,Navigational,720,17,0.22,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches, Popular products"
d usse vsop,Informational,720,17,0.62,"AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
dusay drink,"Informational, Transactional",720,31,0.99,"Image pack, Video carousel, People also ask, Related searches, Popular products"
pint dusse,"Informational, Transactional",720,10,0.96,"Sitelinks, Image, Image pack, People also ask, Related searches, Popular products"
pint of dusse,Informational,720,9,0.96,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products"
d'usse cognac vsop,"Informational, Commercial",590,16,0.34,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
