Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
elijah craig,Navigational,18100,"0.55,0.44,0.55,0.67,0.67,0.67,1.00,0.36,0.24,0.44,0.55,1.00",46,0.46,0.71,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products",193
elijah craig bourbon,Navigational,9900,"0.36,0.29,0.36,0.36,0.29,0.44,1.00,0.36,0.29,0.29,0.29,0.29",32,0.47,0.99,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products",192
elijah craig small batch,Informational,9900,"0.54,0.44,0.67,0.67,0.67,0.67,1.00,0.67,0.44,0.54,0.44,0.35",21,0.43,0.99,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Discussions and forums, Related searches, Popular products",192
elijah craig barrel proof,"Informational, Commercial",6600,"0.54,0.54,0.54,0.44,0.54,0.67,1.00,0.67,0.54,0.54,0.44,0.44",28,0.63,1.00,"AI Overview, Reviews, People also ask, Discussions and forums, Related searches, Popular products",190
elijah craig barrel strength bourbon,"Informational, Commercial",3600,"0.00,0.00,0.03,0.13,0.24,0.24,1.00,0.16,0.00,0.10,0.10,0.13",32,0.81,0.12,"AI Overview, Reviews, People also ask, Discussions and forums, Related searches, Popular products",190
elijah craig toasted barrel,"Informational, Commercial",3600,"0.55,0.55,0.43,0.43,0.55,0.55,1.00,0.55,0.36,0.43,0.43,0.36",16,0.60,1.00,"AI Overview, Reviews, Video carousel, People also ask, Related searches, Popular products",185
elijah craig 18,Commercial,2900,"1.00,1.00,0.79,0.50,0.50,1.00,1.00,0.67,0.67,0.79,0.67,0.67",18,0.78,1.00,"Sitelinks, AI Overview, Reviews, Image, People also ask, Discussions and forums, Related searches, Popular products",196
elijah craig 18 year bourbon whiskey,"Informational, Commercial",2900,"1.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",21,0.00,0.05,"Sitelinks, Reviews, People also ask, Discussions and forums, Related searches, Popular products",202
elijah craig bourbon whiskey,"Informational, Commercial",2900,"1.00,1.00,0.82,0.82,0.18,0.18,0.29,0.24,0.08,0.18,0.35,0.24",39,0.47,0.99,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Discussions and forums, Related searches, Popular products",201
elijah craig small batch bourbon,"Informational, Commercial",2900,"1.00,0.81,0.24,1.00,0.66,0.66,0.53,0.35,0.16,0.18,0.24,0.29",19,0.46,0.17,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Discussions and forums, Related searches, Popular products",190
elijah craig 18 year,"Informational, Commercial",2400,"0.43,0.36,0.27,0.23,0.43,0.80,1.00,0.80,0.80,1.00,1.00,0.80",17,0.77,1.00,"Sitelinks, AI Overview, Reviews, People also ask, Discussions and forums, Related searches, Popular products",192
bourbon elijah craig 18,Commercial,1900,"1.00,0.00,0.24,0.35,0.35,0.80,1.00,0.35,0.67,0.67,0.67,0.35",19,0.78,1.00,"Sitelinks, Reviews, Image, Video carousel, People also ask, Related searches, Popular products",195
elijah craig barrel proof rye,Commercial,1900,"0.01,0.01,0.10,0.29,0.66,0.44,1.00,0.53,0.44,0.35,0.24,0.16",16,0.94,1.00,"AI Overview, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",189
elijah craig small batch bourbon whiskey,"Informational, Commercial",1900,"0.54,0.81,1.00,0.22,0.13,0.22,0.54,0.20,0.13,0.13,0.16,0.29",23,0.46,0.17,"Sitelinks, AI Overview, Reviews, Image, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",192
elijah craig whiskey,Navigational,1900,"0.22,0.36,0.36,0.36,0.43,0.43,1.00,0.43,0.29,0.29,0.36,0.22",30,0.47,1.00,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products",193
elijah craig barrel proof bourbon,"Informational, Commercial",1600,"0.34,0.65,1.00,1.00,0.20,0.44,1.00,0.13,0.11,0.55,0.55,0.24",33,0.81,0.12,"AI Overview, Reviews, People also ask, Discussions and forums, Related searches, Popular products",195
craig bourbon,Navigational,1300,"0.07,0.12,0.05,0.08,0.04,0.04,0.08,1.00,0.07,0.16,0.10,0.07",40,0.47,0.99,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches",134
elijah bourbon,"Navigational, Commercial",1300,"0.55,0.30,0.16,0.16,0.36,1.00,0.36,0.18,0.18,0.23,0.16,0.36",39,0.47,0.99,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",192
elijah craig bourbons,"Informational, Commercial",1300,"0.25,0.45,0.55,0.55,0.45,0.55,1.00,0.45,0.45,0.45,0.45,0.66",39,0.48,0.98,"AI Overview, People also ask, Discussions and forums, Related searches, Popular products",198
elijah craig single barrel,Informational,1300,"0.55,0.41,0.55,0.36,0.41,0.55,1.00,0.55,0.41,0.41,0.55,0.36",17,0.54,1.00,"Reviews, People also ask, Discussions and forums, Related searches, Popular products",190
elisha craig,"Navigational, Commercial",1300,"0.38,0.23,0.38,0.08,0.23,0.08,0.31,0.38,0.23,0.62,0.15,1.00",44,0.40,0.95,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products",187
