Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
40 creek whiskey,Informational,720,"0.36,0.36,0.55,0.45,0.45,0.62,1.00,0.55,0.36,0.36,0.36,0.45",21,0.40,1.00,"Sitelinks, AI Overview, Image, People also ask, Related searches, Popular products"
forty creek barrel select whiskey,Commercial,720,"0.62,0.00,0.00,0.00,0.45,0.62,1.00,0.55,0.36,0.45,0.45,0.45",5,0.40,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
forty creek whiskey,"Navigational, Commercial",720,"0.46,0.46,0.46,0.54,0.76,0.54,1.00,0.54,0.37,0.37,0.46,0.76",18,0.41,1.00,"Sitelinks, Video, People also ask, Related searches, Popular products"
forty creek canadian whisky,"Informational, Commercial",590,"0.81,0.45,1.00,0.55,0.30,0.06,0.13,0.03,0.16,0.00,0.01,0.05",10,0.41,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
canadian ltd whisky brand website,"Informational, Commercial",480,"0.79,0.00,0.41,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",30,0.00,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
canadian whiskey liqueur,Commercial,480,"0.04,0.02,0.03,0.10,0.41,1.00,0.10,0.20,0.00,0.00,0.24,0.02",9,0.00,0.33,"Video carousel, People also ask, Related searches, Popular products"
whiskey creek whiskey,Informational,390,"0.23,0.37,1.00,0.07,0.12,0.09,0.05,0.07,0.07,0.09,0.19,0.07",10,0.25,0.04,"Sitelinks, AI Overview, People also ask, Related searches"
canada house canadian whisky brand website,Informational,320,"0.00,0.02,0.66,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",10,0.00,0.00,"AI Overview, People also ask, Related searches"
cane creek forty headset,"Informational, Navigational",320,"0.82,1.00,0.82,0.53,0.82,0.82,0.66,0.66,0.53,0.82,0.82,1.00",16,0.36,1.00,"Image pack, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches"
forty creek,"Navigational, Commercial",260,"0.44,0.53,0.53,0.36,0.44,0.53,1.00,0.36,0.29,0.29,0.29,0.36",28,0.68,0.95,"Sitelinks, Image, People also ask, Related searches, Popular products"
forty creek barrel select whisky,"Informational, Commercial",260,"0.00,0.58,0.73,1.00,0.00,0.10,0.21,0.05,0.26,0.00,0.02,0.08",6,0.40,1.00,"Sitelinks, AI Overview, Reviews, Image, Image pack, People also ask, Related searches, Popular products"
forty degrees vodka official website,"Informational, Commercial",210,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",2,0.00,0.00,"AI Overview, People also ask, Related searches"
creek whiskey,"Informational, Commercial",170,"0.53,0.65,0.65,0.53,0.53,0.80,1.00,0.53,0.35,0.42,0.53,0.42",43,0.00,0.99,"Sitelinks, Image, People also ask, Related searches, Popular products"
forty creek canadian whiskey,"Informational, Commercial",170,"0.00,0.06,0.44,0.23,0.44,0.35,0.67,0.35,1.00,0.44,0.15,0.10",21,0.40,1.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products"
40 creek,Informational,140,"0.81,0.65,0.81,1.00,0.81,0.81,1.00,0.81,0.53,0.53,0.53,0.81",22,0.44,0.91,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products"
forty creek confederation oak,Informational,110,"0.52,0.82,0.82,0.40,0.65,0.65,1.00,0.82,0.52,0.52,0.52,0.65",4,0.51,1.00,"AI Overview, Image, People also ask, Related searches, Popular products"
40 creek confederation oak,Commercial,90,"0.29,0.52,0.64,0.41,0.64,0.64,1.00,0.52,0.29,0.41,0.41,0.41",4,0.78,1.00,"AI Overview, Image, People also ask, Related searches"
forty creek barrel select,Commercial,90,"1.00,0.80,0.80,0.66,0.49,0.80,0.80,0.49,0.49,0.49,0.49,0.34",8,0.00,0.94,"AI Overview, Reviews, Image, People also ask, Related searches, Popular products"
letterkenny whiskey,Informational,90,"0.60,0.60,0.80,0.60,0.60,0.80,1.00,1.00,0.80,0.60,0.60,0.80",22,0.36,0.06,"AI Overview, Image pack, People also ask, Related searches"
whiskey canada,"Informational, Commercial",90,"0.00,0.50,0.50,0.38,0.63,0.75,1.00,0.63,0.50,0.50,0.63,0.50",18,0.00,0.88,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
flavored canadian whiskey,Commercial,70,"0.21,0.35,0.14,0.14,0.78,0.78,1.00,1.00,0.14,0.14,0.14,0.14",18,0.00,0.53,"Sitelinks, People also ask, Discussions and forums, Related searches, Popular products"
forty creek distillery,Navigational,70,"0.67,1.00,0.47,0.67,0.67,0.47,0.47,0.33,0.33,0.13,0.13,1.00",16,0.00,0.21,"Sitelinks, People also ask, Knowledge panel, Related searches"
forty creek niagara whiskey,Commercial,70,"0.50,0.50,0.35,0.64,0.64,0.64,1.00,0.64,0.50,0.35,0.35,0.50",14,0.00,1.00,"Sitelinks, AI Overview, Image, People also ask, Related searches, Popular products"
40 creek distillery,"Navigational, Transactional",50,"0.36,0.49,0.49,0.36,0.64,0.49,0.49,0.36,0.36,0.13,0.13,1.00",7,0.00,0.21,"Sitelinks, Short videos, People also ask, Knowledge panel, Related searches"
canadian whiskey near me,Transactional,50,"0.27,0.81,1.00,0.36,0.18,0.45,0.18,0.36,0.45,0.63,0.45,0.63",6,0.00,1.00,"People also ask, Local pack, Related searches"
canadian whisky distilleries,Commercial,50,"0.14,0.78,0.14,0.14,0.14,0.14,0.14,0.14,0.78,0.78,0.78,1.00",21,0.00,0.33,"Sitelinks, Reviews, People also ask, Local pack, Related searches"
creek liquor,Informational,50,"0.74,1.00,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.00,0.00,0.74",23,0.79,0.05,"Sitelinks, Reviews, Image pack, People also ask, Local pack, Related searches"
fourty creek whiskey,"Navigational, Commercial",50,"0.35,1.00,0.35,0.00,0.07,0.00,0.07,0.00,0.64,0.78,0.78,1.00",15,0.40,1.00,"Sitelinks, Video, People also ask, Related searches, Popular products"
forty creek select,Commercial,40,"0.00,1.00,0.71,1.00,1.00,0.00,0.42,1.00,1.00,0.00,1.00,0.71",4,0.00,0.94,"Sitelinks, Reviews, People also ask, Related searches, Popular products"
