Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
glendronach,Navigational,2400,"0.67,0.53,0.67,0.53,0.80,0.67,1.00,0.67,0.53,0.53,0.53,0.67",43,0.43,1.00,"Sitelinks, AI Overview, Image, Video, Short videos, People also ask, Knowledge panel, Related searches",194
glendronach 12,Commercial,2400,"0.43,0.36,0.43,0.43,0.65,0.65,1.00,0.54,0.54,0.43,0.30,0.36",12,0.46,1.00,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",197
glendronach 15,Commercial,1600,"0.29,0.29,0.29,0.22,0.29,0.65,1.00,0.43,0.36,0.36,0.29,0.36",14,0.51,1.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches, Popular products",189
glendronach 18,"Informational, Commercial",1600,"0.55,0.55,0.55,0.55,1.00,1.00,0.79,0.55,0.41,0.55,0.36,0.55",14,0.76,1.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products",198
glendronach distillery,Navigational,1000,"0.41,0.54,0.20,0.41,0.24,0.54,1.00,0.66,0.41,0.66,0.20,0.36",36,0.43,1.00,"Sitelinks, Image, Video, People also ask, Knowledge panel, Related searches",68
glendronach 21,Commercial,720,"0.82,0.82,0.65,0.65,0.65,0.82,1.00,1.00,0.55,0.65,0.55,0.65",14,0.88,1.00,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products",189
glendronach 15 revival,"Informational, Commercial",320,"0.29,0.29,0.19,0.29,0.54,0.66,1.00,0.44,0.36,0.29,0.23,0.29",1,0.56,1.00,"Sitelinks, AI Overview, Reviews, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",191
glendronach ode to the dark,Commercial,320,"0.18,0.35,0.66,0.44,0.66,0.54,1.00,0.81,0.54,0.54,0.54,0.66",8,0.80,1.00,"Sitelinks, AI Overview, Reviews, Video, Related searches, Popular products",181
scotch whisky distillery,Informational,320,"0.44,1.00,0.54,0.54,0.15,0.15,0.15,0.54,0.36,0.44,0.23,0.29",41,1.36,0.08,"Sitelinks, Image, Image pack, Video, People also ask, Local pack, Related searches",197
21 year old scotch,Commercial,260,"0.53,0.81,0.67,0.53,0.67,1.00,0.81,0.43,0.36,0.53,0.53,0.53",6,0.76,1.00,"Sitelinks, Reviews, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",185
glendronach port wood,"Informational, Commercial",260,"0.23,0.19,0.36,0.19,0.36,0.54,1.00,0.44,0.29,0.29,0.23,0.23",5,0.85,0.99,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products",186
glendronach scotch,"Navigational, Commercial",260,"0.29,0.43,0.43,0.35,0.54,0.66,1.00,0.43,0.43,0.43,0.43,0.54",22,0.41,1.00,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Popular products",197
oldest scotch distillery,Informational,210,"0.80,1.00,0.80,0.80,1.00,0.80,0.80,1.00,0.65,0.80,0.80,1.00",25,1.25,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",191
glen dronach,"Navigational, Commercial",170,"0.42,0.42,0.17,0.67,0.42,0.54,1.00,0.17,0.54,0.54,0.33,0.54",36,0.32,1.00,"Sitelinks, AI Overview, Image, Video, People also ask, Knowledge panel, Related searches, Popular products",193
glendronach 15 revival single malt whisky,"Informational, Commercial",170,"0.07,0.23,0.23,0.16,1.00,0.66,0.09,0.05,0.16,0.05,0.05,0.05",8,0.00,0.60,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",203
glendronach 18 allardice,Commercial,170,"0.22,0.22,0.22,0.18,0.81,1.00,0.54,0.29,0.22,0.29,0.22,0.29",1,0.92,1.00,"Sitelinks, Image, Video, Video carousel, Related searches, Popular products",187
the glendronach,Navigational,170,"0.34,0.43,0.28,0.34,0.53,0.53,1.00,1.00,0.53,0.43,0.43,0.43",38,0.41,1.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",195
glendronach revival 15,Commercial,140,"0.17,0.17,0.17,0.17,0.35,0.43,1.00,0.53,0.66,0.23,0.17,0.53",0,0.93,1.00,"Sitelinks, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",184
glendronach whiskey,"Navigational, Commercial",140,"0.42,0.65,0.42,0.34,0.53,1.00,0.80,0.42,0.26,0.26,0.34,0.42",33,0.48,1.00,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Popular products",197
