Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
grappa,Informational,33100,"1.00,0.67,0.81,0.81,0.67,1.00,0.81,0.67,1.00,0.81,0.67,1.00",39,0.19,0.18,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
grappa 72,"Navigational, Transactional",3600,"0.43,0.65,0.81,0.81,1.00,0.65,1.00,0.81,0.81,0.65,0.65,0.81",47,0.00,0.01,"Sitelinks, Image pack, Knowledge panel, Related searches"
grappa park city,"Navigational, Transactional",3600,"0.35,0.44,0.44,0.35,0.29,0.44,0.66,1.00,0.54,0.66,0.23,0.29",41,1.55,0.02,"Sitelinks, Image pack, Knowledge panel, Related searches"
mud grapps,Informational,3600,"0.65,0.81,1.00,0.81,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81",25,0.77,0.86,"AI Overview, Reviews, Image pack, Video, People also ask, Knowledge panel, Related searches"
what is grappa,Informational,2900,"0.82,0.65,0.82,0.65,0.82,0.65,0.65,0.82,0.65,0.65,0.82,1.00",23,0.02,0.03,"Sitelinks, AI Overview, Video, People also ask, Related searches"
bassano del grappa,Informational,2400,"1.00,0.65,1.00,0.65,0.83,0.65,0.65,0.83,0.83,1.00,0.83,1.00",16,1.55,0.02,"AI Overview, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches, People also search, Things to know"
grapa,Informational,2400,"0.80,0.80,0.52,0.66,1.00,0.80,0.80,0.66,0.52,0.80,0.52,0.80",51,0.08,0.89,"AI Overview, Instant answer, Video, People also ask, Knowledge panel, Related searches, People also search, Popular products"
grapps,Informational,2400,"0.83,0.83,1.00,1.00,1.00,1.00,1.00,0.83,0.83,0.83,0.65,0.65",26,0.65,0.81,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
grapas,Informational,1900,"0.45,0.66,0.83,0.55,0.34,0.45,0.55,0.55,1.00,0.66,0.66,0.83",29,0.08,0.89,"Sitelinks, AI Overview, Instant answer, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
grappa seattle,"Navigational, Transactional",1900,"0.79,0.67,1.00,1.00,0.79,0.79,1.00,0.79,0.79,0.79,0.79,1.00",34,0.96,0.02,"Sitelinks, Knowledge panel, Related searches"
grappa meaning,Informational,1600,"0.55,0.65,0.65,0.55,0.55,1.00,0.65,0.44,0.65,0.34,0.44,0.55",24,0.01,0.02,"AI Overview, Video carousel, People also ask, Related searches"
monte grappa,Informational,1600,"0.36,0.36,1.00,0.20,0.36,0.52,0.36,0.24,0.24,0.24,0.24,0.24",38,0.73,0.71,"AI Overview, Reviews, Image, Image pack, Video carousel, People also ask, Knowledge panel, Related searches, People also search, Things to know"
