Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
heaven hill distillery,Informational,9900,"1.00,0.67,0.82,0.82,0.82,0.67,0.82,0.67,0.55,1.00,0.82,0.44",53,1.29,0.05,"Sitelinks, Reviews, Image, People also ask, Knowledge panel, Discussions and forums, Related searches",108
heaven hill,Navigational,8100,"0.81,1.00,0.81,0.81,1.00,0.81,1.00,0.67,0.44,0.81,0.81,0.54",58,1.27,0.72,"Sitelinks, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products",192
old fitzgerald,"Informational, Commercial",8100,"1.00,0.66,0.54,0.44,0.54,0.54,0.81,0.44,0.36,0.44,0.36,0.36",29,0.65,1.00,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products",200
heaven hill bourbon,"Informational, Commercial",6600,"0.54,0.54,0.54,0.54,0.67,0.67,1.00,0.36,0.36,0.30,0.54,0.44",57,0.94,0.93,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products",265
heaven hill farm,Navigational,4400,"0.02,0.04,0.09,0.81,1.00,0.09,0.02,0.00,0.00,0.13,0.19,0.06",42,0.00,0.33,"Sitelinks, Short videos, Knowledge panel, Related searches",107
heaven hill 90th anniversary,Commercial,3600,"0.00,0.00,0.00,0.00,0.00,0.24,1.00,0.54,0.44,0.24,0.05,0.10",18,1.27,1.00,"Sitelinks, AI Overview, Reviews, Image, People also ask, Discussions and forums, Related searches, Popular products",185
heaven hill bottled in bond,Informational,3600,"0.43,0.43,0.55,0.43,0.43,0.55,1.00,0.43,0.23,0.36,0.36,0.30",24,0.57,1.00,"AI Overview, Reviews, People also ask, Related searches, Popular products",187
heaven hill grain to glass,Commercial,3600,"0.55,0.55,0.55,0.43,0.66,0.66,1.00,0.55,0.36,0.36,0.27,0.36",21,0.85,1.00,"Sitelinks, AI Overview, Reviews, People also ask, Related searches, Popular products",193
bourbon barrel,Commercial,2900,"1.00,0.80,0.66,0.80,0.66,0.80,1.00,1.00,0.80,0.52,0.80,0.80",25,1.15,0.95,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Local pack, Related searches, Popular products",202
bourbon brand williams,"Informational, Commercial",1900,"0.10,1.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00",42,0.00,0.09,"Sitelinks, AI Overview, Reviews, People also ask, Discussions and forums, Related searches, Popular products",188
evan williams distillery,Informational,1900,"1.00,1.00,0.67,0.79,1.00,0.67,0.54,0.54,0.67,0.79,0.67,0.67",40,1.42,0.83,"Sitelinks, Reviews, Image, Image pack, People also ask, Knowledge panel, Related searches",164
heaven hill brands,Navigational,1900,"0.65,0.65,0.65,0.82,0.65,0.55,0.65,0.65,0.65,1.00,0.55,0.44",56,1.52,0.07,"Sitelinks, AI Overview, People also ask, Knowledge panel, Related searches, People also search",196
heaven hill farm garden center and farm market,Navigational,1900,"0.06,0.00,0.04,0.00,1.00,0.10,0.01,0.01,0.00,0.08,0.16,0.08",35,0.00,0.02,"Sitelinks, Short videos, People also ask, Knowledge panel, Related searches",105
bardstown distilleries,Commercial,1600,"1.00,0.15,0.24,0.18,0.18,0.18,0.11,0.18,0.18,0.12,0.12,0.44",40,0.68,0.26,"Reviews, Image, People also ask, Local pack, Related searches",134
heaven hill 19 year,Informational,1600,"1.00,0.54,0.41,0.41,0.37,0.29,0.79,0.41,0.24,0.24,0.41,0.20",11,1.21,1.00,"Sitelinks, AI Overview, Reviews, People also ask, Discussions and forums, Related searches",119
heaven hill bourbon brands,"Informational, Commercial",1600,"0.07,0.10,0.16,0.07,0.04,0.02,0.08,1.00,0.07,0.10,0.44,0.08",53,0.94,0.93,"AI Overview, People also ask, Discussions and forums, Related searches, Popular products",197
heaven hill distilleries,Navigational,1600,"0.75,1.00,0.63,0.75,0.75,1.00,0.75,0.06,0.13,0.19,0.19,0.06",37,1.52,0.07,"Sitelinks, Reviews, People also ask, Local pack, Knowledge panel, Related searches, People also search",125
bourbon distilleries in louisville ky,Commercial,1300,"1.00,1.00,0.62,0.81,0.81,0.55,1.00,0.81,0.81,0.62,0.62,0.81",40,0.51,0.34,"Sitelinks, Reviews, People also ask, Local pack, Discussions and forums, Related searches",137
heaven hill distillery bourbons,Informational,1300,"0.04,0.00,0.02,0.35,0.03,0.05,0.03,1.00,0.03,0.04,0.03,0.03",53,1.22,0.01,"AI Overview, People also ask, Discussions and forums, Related searches, Popular products",192
heaven hill whiskey,Navigational,1300,"0.30,0.41,0.41,0.30,0.41,0.41,1.00,0.41,0.41,0.54,0.79,0.41",41,0.70,0.61,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products",188
high on the hill,Informational,1300,"0.12,0.10,0.10,1.00,0.12,0.08,0.07,0.05,0.04,0.04,0.04,0.04",27,0.00,0.33,"Image pack, Knowledge panel, Related searches",107
heaven hill 19,"Informational, Commercial",1000,"1.00,0.55,0.36,0.24,0.24,0.36,0.55,0.30,0.15,0.15,0.36,0.15",11,1.19,1.00,"Sitelinks, AI Overview, Reviews, People also ask, Discussions and forums, Related searches, Popular products",180
heaven hill bourbon experience,"Informational, Transactional",1000,"0.17,1.00,0.24,0.28,0.24,0.10,0.45,0.55,0.17,0.17,0.34,0.24",26,1.25,0.04,"Reviews, Video, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches",165
heaven hill distillery tour,"Informational, Transactional",1000,"0.44,0.65,0.24,0.30,0.30,1.00,0.30,0.20,0.13,0.24,0.30,0.24",30,1.40,0.07,"Reviews, Video, People also ask, Knowledge panel, Related searches",105
horse heaven hills,Informational,1000,"0.76,1.00,1.00,1.00,1.00,0.76,0.76,0.76,0.76,0.76,0.76,0.76",31,1.42,0.01,"AI Overview, Reviews, Image, Image pack, People also ask, Knowledge panel, Related searches, People also search, See results about",116
bardstown ky distilleries,Commercial,880,"0.55,0.36,0.61,0.61,0.30,0.45,0.82,0.45,0.55,0.23,0.23,1.00",45,0.58,0.21,"Reviews, Image, People also ask, Local pack, Discussions and forums, Related searches",109
heaven hill 22,"Informational, Commercial",880,"0.00,0.00,0.00,0.00,0.02,0.43,1.00,0.81",14,1.32,1.00,"AI Overview, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",181
heaven hill company,Informational,880,"0.16,0.01,0.13,0.03,0.36,0.03,0.03,0.36,0.66,1.00,0.01,0.00",55,1.52,0.07,"Sitelinks, AI Overview, Reviews, People also ask, Related searches",136
heaven hills brands,Informational,880,"0.31,0.37,0.37,0.52,0.37,0.31,0.25,0.46,0.37,0.68,1.00,0.31",44,1.52,0.07,"Sitelinks, AI Overview, People also ask, Top stories, Related searches",134
kentucky deluxe,Informational,880,"0.76,1.00,0.76,0.56,0.67,0.67,1.00,0.67,0.56,0.56,0.67,0.76",4,0.69,0.96,"Sitelinks, AI Overview, Image pack, Video carousel, People also ask, Related searches, Popular products",187
distilleries near louisville ky,Commercial,720,"1.00,1.00,0.55,0.82,0.82,0.55,0.36,0.82,0.55,0.65,0.82,0.65",40,0.50,0.39,"Reviews, People also ask, Local pack, Discussions and forums, Related searches",137
haven hill,Informational,720,"0.68,0.25,0.30,0.68,0.30,1.00,0.77,0.06,0.56,0.56,0.56,0.20",31,2.54,0.05,"Sitelinks, AI Overview, Reviews, Image, Image pack, People also ask, Related searches",135
heaven hill 22 year,Informational,720,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.81,1.00,0.65",14,1.13,1.00,"AI Overview, Reviews, Video, People also ask, Related searches, Popular products",180
heaven hill 90th anniversary review,Commercial,720,"0.00,0.00,0.00,0.00,0.00,0.27,1.00,0.52,0.27,0.13,0.07,0.05",20,2.53,0.31,"Reviews, Video, Video carousel, People also ask, Related searches",174
