Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
hine cognac,"Informational, Navigational",1300,16,0.53,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Related searches, Popular products"
hine rare cognac,Informational,320,7,0.53,"Sitelinks, AI Overview, People also ask, Knowledge panel, Related searches, Popular products"
thomas hine cognac,Commercial,210,12,0.53,"People also ask, Knowledge panel, Related searches, Popular products"
hines cognac,"Informational, Commercial",170,6,0.34,"AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
hine cognac vsop,"Informational, Commercial",140,3,0.68,"Sitelinks, AI Overview, Reviews, People also ask, Related searches, Popular products"
hine rare vsop,Informational,140,8,0.56,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
hine rare vsop cognac,Informational,140,10,0.00,"AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
hine vsop,Commercial,140,8,0.68,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
thomas hine & co,Navigational,140,13,0.53,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
cognac hine rare,Informational,110,7,0.48,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
hine rare,Commercial,110,3,0.68,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
cognac hine xo,Commercial,90,3,0.98,"Sitelinks, Image, Image pack, People also ask, Related searches, Popular products"
h by hine cognac,"Informational, Commercial",90,8,0.52,"Sitelinks, AI Overview, Image, Video carousel, People also ask, Related searches, Popular products"
hine cognac price,Transactional,90,9,0.38,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products"
hine cognac rare,Informational,90,3,0.50,"Sitelinks, AI Overview, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
hine h cognac,Commercial,90,2,0.52,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
hine xo cognac,Informational,90,3,0.98,"Sitelinks, Image, Image pack, People also ask, Related searches, Popular products"
cognac h by hine,"Informational, Commercial",70,3,0.52,"Sitelinks, AI Overview, Image, Video carousel, People also ask, Related searches, Popular products"
cognac hine,"Informational, Transactional",70,9,0.53,"Sitelinks, Image pack, Video, People also ask, Knowledge panel, Related searches"
h by hine,Commercial,70,4,1.31,"Sitelinks, AI Overview, Image, Video carousel, People also ask, Related searches, Popular products"
h by hine vsop cognac,"Informational, Commercial",70,7,0.00,"Sitelinks, AI Overview, Reviews, Image, Image pack, People also ask, Related searches, Popular products"
h hine cognac,"Informational, Commercial",70,5,0.00,"Sitelinks, AI Overview, Reviews, Image, People also ask, Related searches, Popular products"
hine h,"Informational, Commercial",70,6,0.00,"Sitelinks, AI Overview, Reviews, Video carousel, People also ask, Related searches, Popular products"
hine liquor,Informational,70,4,0.63,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
hine vsop cognac,Commercial,70,5,0.73,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
hine brandy,"Informational, Commercial",50,5,0.35,"AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
hine h by hine,Commercial,50,5,0.00,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
hine rare cognac near me,Transactional,50,4,0.00,"Sitelinks, Reviews, Video, People also ask, Local pack, Related searches, Popular products"
hine rare cognac vsop,Informational,50,4,0.76,"AI Overview, Image pack, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
cognac rare hine,"Informational, Transactional",40,5,0.53,"Sitelinks, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
cognac rare vsop,"Informational, Commercial",40,11,0.00,"Featured snippet, Sitelinks, Video carousel, People also ask, Related searches, Popular products"
hine cognac near me,Transactional,40,4,0.73,"Sitelinks, Reviews, People also ask, Local pack, Related searches, Popular products"
hine cognac rare vsop,Informational,40,9,0.00,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
rare vsop cognac,Commercial,40,3,0.00,"Sitelinks, Image pack, Video carousel, People also ask, Related searches, Popular products"
xo hine,Commercial,40,3,1.07,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
hine antique cognac,Informational,30,9,0.00,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
hine rare vsop fine champagne cognac,Informational,30,1,0.00,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
hine xo cognac price,Transactional,30,3,0.00,"Sitelinks, People also ask, Related searches, Popular products"
best hine cognac,Commercial,20,2,0.00,"Sitelinks, Reviews, People also ask, Discussions and forums, Related searches, Popular products"
