Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
jack daniels,"Navigational, Commercial",110000,"0.67,0.67,0.81,0.81,0.81,0.81,1.00,0.56,0.67,0.56,0.56,0.67",50,1.29,0.88,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",132
jack daniels whiskey,Navigational,40500,"0.45,0.45,0.36,0.45,0.45,0.55,1.00,0.55,0.45,0.45,0.45,0.55",21,1.26,0.98,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products",216
daniels jack daniels,"Informational, Commercial",22200,"0.36,0.00,0.03,0.30,0.20,0.55,1.00,1.00,0.55,1.00,0.82,0.55",32,1.26,0.98,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",127
distiller jack daniels,Informational,12100,"0.00,0.00,0.00,0.44,0.81,0.81,0.81,0.66,0.66,1.00,1.00,0.81",34,0.98,0.25,"AI Overview, Video, People also ask, Knowledge panel, Related searches, Popular products",184
jakdanil,"Informational, Navigational",12100,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",48,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video carousel, People also ask, Related searches",2360
whisky tennessee jack daniels,"Informational, Commercial",12100,"0.66,0.00,0.08,0.81,1.00,1.00,1.00,1.00,0.66,1.00,0.54,0.00",19,1.28,0.05,"Sitelinks, Image pack, People also ask, Discussions and forums, Popular products",231
jack daniel's tennessee whiskey,Navigational,9900,"0.54,0.54,0.54,0.54,0.16,0.36,0.81,0.29,0.04,1.00,0.54,0.54",47,1.28,0.05,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products",195
jack daniels blackberry,Informational,9900,"0.01,0.20,1.00,0.36,0.07,0.08,0.24,0.13,0.10,0.10,0.16,0.08",15,1.19,1.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",198
jack daniel,Informational,8100,"1.00,0.54,0.44,0.54,0.54,0.67,0.54,0.44,0.44,0.44,0.54,0.44",53,1.29,0.88,"Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know",189
jack daniel byrne,"Informational, Transactional",8100,"1.00,0.81,0.54,0.36,0.24,0.05,0.19,0.24,0.19,0.24,0.19,0.16",26,0.00,0.33,"Reviews, Image, People also ask, Knowledge panel, Related searches, People also search",68
jack daniel's distillery,"Navigational, Transactional",8100,"1.00,0.55,0.55,1.00,0.66,0.55,1.00,0.82,0.66,0.30,0.55,0.23",49,0.98,0.25,"Sitelinks, Reviews, Image, People also ask, Local pack, Discussions and forums, Related searches",166
jack daniel's distillery lynchburg tn,"Informational, Navigational",8100,"0.00,0.01,0.01,0.44,0.01,0.00,0.81,0.66,0.44,1.00,1.00,0.81",37,0.98,0.25,"Sitelinks, AI Overview, Video, Short videos, People also ask, Knowledge panel, Related searches",107
jack daniels distillery,Navigational,8100,"0.33,0.33,0.42,0.33,0.42,0.42,0.13,0.08,0.13,0.54,0.54,1.00",59,0.98,0.25,"Sitelinks, AI Overview, People also ask, Local pack, Discussions and forums, Related searches",167
jack daniel's,"Navigational, Commercial",6600,"0.36,0.29,1.00,0.36,0.16,0.16,0.19,0.16,0.13,0.54,0.10,0.13",44,1.29,0.88,"Sitelinks, Image pack, People also ask, Discussions and forums, Related searches, Popular products, Things to know",523000000
jack daniel's jack,Commercial,6600,"0.81,0.30,0.04,0.00,0.02,0.00,0.00,0.00,1.00,0.00,0.00,1.00",17,1.26,0.98,"Sitelinks, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",198
jack daniel's tennessee,"Navigational, Commercial",6600,"0.08,0.13,0.16,0.08,0.16,0.00,0.66,1.00,0.66,1.00,0.54,0.66",66,1.28,0.05,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products",194
jack daniel's whiskey,"Navigational, Commercial",6600,"0.44,0.67,1.00,0.28,0.22,0.03,0.56,0.06,0.08,0.03,0.67,0.81",19,1.30,0.09,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products",190
jack daniels tour,"Informational, Transactional",6600,"1.00,1.00,1.00,1.00,0.81,0.44,0.54,0.44,0.44,0.44,0.44,0.44",33,0.83,0.47,"Reviews, Image, Video, People also ask, Local pack, Discussions and forums, Related searches",108
jack daniels distillery tour,Transactional,5400,"0.81,1.00,0.81,0.67,0.67,0.23,0.10,0.10,0.23,0.44,0.36,0.44",35,1.06,0.44,"People also ask, Local pack, Discussions and forums, Related searches",132
jack daniels honey,Informational,5400,"0.43,0.43,0.43,0.55,0.43,0.66,1.00,0.66,0.43,0.43,0.43,0.66",13,1.05,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",11900000
jack daniels tennessee whisky,Informational,5400,"0.00,0.00,0.03,0.00,0.24,0.01,0.01,0.00,0.02,0.54,1.00,0.67",19,1.26,0.98,"AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products",205
blackberry jack daniels,"Informational, Commercial",4400,"0.00,0.10,1.00,0.44,0.29,0.24,0.29,0.16,0.13,0.10,0.10,0.08",22,1.18,1.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",198
is jack daniels bourbon,Informational,4400,"0.54,0.67,0.67,0.67,0.67,0.81,1.00,0.67,0.43,0.54,0.54,0.54",12,0.31,0.03,"AI Overview, People also ask, Discussions and forums, Related searches",103
jack daniel's tennessee honey whiskey,"Informational, Commercial",4400,"0.66,0.16,0.54,0.54,0.10,0.00,1.00,0.36,0.36,0.54,0.54,0.29",7,1.03,0.85,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products",197
jack daniels honey whiskey,Informational,4400,"0.81,1.00,0.67,0.81,0.81,0.67,0.81,0.67,0.67,0.67,0.43,0.54",12,1.03,0.85,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products",192
jack daniels sinatra,"Informational, Commercial",4400,"0.44,0.35,0.44,0.35,0.44,0.54,1.00,0.44,0.30,0.30,0.30,0.35",11,0.73,1.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",193
jack daniels single barrel barrel proof,Informational,4400,"0.35,0.44,0.44,0.54,0.54,0.66,1.00,0.54,0.44,0.44,0.44,0.54",11,0.99,1.00,"Sitelinks, AI Overview, Reviews, Image, People also ask, Discussions and forums, Related searches, Popular products",197
jack daniels tennessee honey,Informational,4400,"0.66,0.81,0.81,0.44,1.00,0.81,1.00,0.66,0.66,0.81,0.81,0.66",15,0.92,0.58,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products",200
jack daniels winter jack,Informational,4400,"0.05,0.06,0.11,0.12,0.29,0.82,1.00,0.29,0.12,0.11,0.08,0.08",11,1.27,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products",191
jack daniel's distillery tour,Informational,3600,"0.54,1.00,0.13,0.24,0.36,1.00,1.00,0.54,0.43,0.24,0.24,0.24",38,1.06,0.15,"AI Overview, Video, People also ask, Local pack, Related searches",107
jack daniel's new year's eve live nashville's big bash tickets,Navigational,3600,"0.00,0.00,0.00,0.00,0.03,0.00,1.00,0.03,0.00,0.00,0.00,0.00",14,0.00,0.33,"Sitelinks, Video, People also ask, Related searches",161
jack daniels 14 year,Commercial,3600,"1.00,0.79,0.54,0.33,0.42,0.42,0.33,0.42,0.17,0.33,0.67,0.33",15,1.14,1.00,"Sitelinks, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",197
jack daniels pulled pork,Informational,3600,"1.00,0.81,0.81,0.66,0.66,0.66,0.81,0.66,0.53,0.66,0.66,1.00",21,0.48,0.91,"AI Overview, Image, Image pack, Video, People also ask, Related searches",188
jack daniels single barrel,Informational,3600,"0.45,0.55,0.55,0.24,0.45,0.66,1.00,0.45,0.45,0.66,0.55,0.45",17,1.11,1.00,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",200
