Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
is jack daniels bourbon,Informational,4400,12,0.31,"AI Overview, People also ask, Discussions and forums, Related searches"
is jack daniels whiskey,Informational,1600,21,0.96,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches"
what is jack daniels,Informational,1600,61,1.31,"Sitelinks, AI Overview, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
where is jack daniels made,Informational,1600,22,0.42,"AI Overview, Image, Video carousel, Related searches"
is jd whiskey,Informational,1300,23,1.33,"AI Overview, Video, People also ask, Discussions and forums, Related searches"
is jd whiskey or bourbon,Informational,1300,9,0.23,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches"
who owns jack daniels,Informational,1300,57,0.31,"Sitelinks, AI Overview, People also ask, Related searches"
how did jack daniels die,Informational,1000,33,0.00,"AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches"
is jack daniels a bourbon,Informational,1000,10,0.31,"AI Overview, People also ask, Discussions and forums, Related searches"
is jack daniels gluten free,Informational,1000,18,0.00,"AI Overview, People also ask, Related searches"
is jack daniels bourbon or whiskey,Informational,880,10,0.29,"AI Overview, Short videos, People also ask, Discussions and forums, Related searches"
what proof is jack daniels,Informational,880,17,0.00,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches"
how much is a bottle of jack daniels,Informational,720,8,0.39,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
is jack daniels a whiskey or bourbon,Informational,720,8,0.29,"AI Overview, Video carousel, People also ask, Discussions and forums, Related searches"
how many calories in jack daniels,Informational,590,18,0.00,"AI Overview, People also ask, Related searches"
how much is jack daniels,Informational,590,15,0.40,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
is jack daniels a bourbon or whiskey,Informational,590,9,0.23,"AI Overview, People also ask, Discussions and forums, Related searches"
is jack daniels whiskey or bourbon,Informational,590,9,0.23,"Sitelinks, AI Overview, Video carousel, People also ask, Discussions and forums, Related searches"
is there ssalt in jack daniels,Informational,590,20,0.00,"AI Overview, People also ask, Discussions and forums, Related searches"
where is jack daniels whiskey made,Informational,590,49,0.37,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches"
who is the owner of jack daniels,Informational,590,59,0.31,"AI Overview, Video, People also ask, Related searches"
does jack daniels expire,Informational,480,6,0.00,"AI Overview, People also ask, Related searches"
does jack daniels go bad,Informational,480,6,0.00,"AI Overview, Video carousel, People also ask, Related searches"
does jack daniels whiskey expire,Informational,480,11,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
how many calories in a shot of jack daniels,Informational,480,8,0.00,"AI Overview, People also ask, Related searches"
who is jack daniels,Informational,480,52,0.00,"AI Overview, Image, Image pack, Related searches"
does jack daniels have sugar,Informational,390,9,0.00,"AI Overview, People also ask, Related searches"
how many calories is in jack daniels whiskey,Informational,390,17,0.00,"AI Overview, People also ask, Related searches"
how many calories jack daniels whiskey,Informational,390,9,0.00,"AI Overview, People also ask, Related searches"
how much is a fifth of jack daniels,Informational,390,9,0.39,"Sitelinks, People also ask, Related searches, Popular products"
how much is jack daniels whiskey,Informational,390,15,0.44,"Sitelinks, Video, People also ask, Related searches, Popular products"
is jack daniels a whiskey,Informational,390,14,1.33,"AI Overview, People also ask, Discussions and forums, Related searches"
is jack daniels whiskey bourbon,Informational,390,9,0.66,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches"
what is jack daniels proof,Informational,390,11,0.00,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches"
what mixes well with jack daniels,Informational,390,19,0.40,"AI Overview, Video, People also ask, Discussions and forums, Related searches"
what to mix jack daniels whiskey with,Informational,390,14,0.40,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches"
what to mix with jack daniels,Informational,390,15,0.40,"Sitelinks, AI Overview, Video, People also ask, Related searches"
when was jack daniels founded,Informational,390,25,0.28,"Sitelinks, AI Overview, Video, People also ask, Related searches"
where is jack daniels manufactured,Informational,390,45,0.42,"AI Overview, Video, Video carousel, People also ask, Related searches"
will jack daniels expire,Informational,390,5,0.00,"AI Overview, Video carousel, People also ask, Related searches"
can jack daniels go bad,Informational,320,4,0.00,"AI Overview, Video carousel, People also ask, Related searches"
how long is jack daniels aged,Informational,320,23,0.00,"AI Overview, Reviews, People also ask, Related searches"
how many calories is in jack daniels,Informational,320,17,0.00,"AI Overview, People also ask, Related searches"
how many calories is jack daniels,Informational,320,16,0.00,"AI Overview, People also ask, Related searches"
how much is a 5th of jack daniels,"Informational, Commercial",320,6,0.39,"Sitelinks, AI Overview, Reviews, People also ask, Related searches, Popular products"
how much is fifth of jack daniels,Informational,320,8,0.39,"Sitelinks, People also ask, Related searches, Popular products"
is jack daniels whiskey gluten free,Informational,320,16,0.00,"AI Overview, People also ask, Related searches"
me and jack daniels got a history,Informational,320,43,0.00,"AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches"
what does jack daniels taste like,Informational,320,9,0.00,"AI Overview, Video carousel, People also ask, Related searches"
what is a jack daniels,Informational,320,49,1.31,"AI Overview, Image, Video carousel, People also ask, Discussions and forums, Related searches"
where is jack daniels distillery,Navigational,320,40,0.66,"Sitelinks, People also ask, Local pack, Discussions and forums, Related searches"
where is the jack daniel's distillery in tennessee,Transactional,320,37,0.66,"People also ask, Local pack, Discussions and forums, Related searches"
