Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
johnnie walker blue label,"Informational, Commercial",49500,"0.54,0.44,0.54,0.66,0.44,0.54,1.00,0.54,0.44,0.36,0.36,0.44",36,0.65,1.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",206
johnnie walker,Navigational,33100,"0.46,0.54,0.54,0.25,0.29,0.46,1.00,0.67,0.54,0.54,0.46,0.54",57,0.53,0.90,"Sitelinks, AI Overview, Image pack, People also ask, Top stories, Discussions and forums, Related searches, Popular products",9750
johnnie walker black label,"Informational, Commercial",27100,"0.81,0.66,0.66,0.54,0.66,0.54,1.00,0.54,0.44,0.44,0.54,0.54",28,0.48,0.94,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",196
johnny walker,Informational,27100,"0.44,0.36,0.82,0.36,0.36,0.29,0.36,0.24,0.29,0.24,1.00,0.29",67,0.53,0.90,"AI Overview, Video, People also ask, Knowledge panel, Related searches, Popular products",197
black label,Informational,22200,"0.67,0.55,0.67,0.44,0.55,0.82,1.00,0.82,0.44,0.44,0.67,0.67",16,1.05,0.71,"AI Overview, Image pack, People also ask, Related searches, Popular products",2500000000
blue label whiskey,"Informational, Commercial",18100,"0.54,0.54,0.54,0.54,0.54,0.67,1.00,0.67,0.67,0.67,0.36,0.44",28,0.68,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",374
johnnie walker blue,"Informational, Commercial",18100,"0.55,0.55,0.55,0.45,0.45,0.68,1.00,0.55,0.36,0.45,0.45,0.55",35,0.60,1.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",199
label black label,Commercial,18100,"0.20,0.00,0.03,0.24,0.44,0.54,1.00,0.36,0.54,0.54,0.54,0.44",20,1.05,0.71,"Sitelinks, People also ask, Related searches, Popular products",202
black john walker,"Informational, Commercial",12100,"0.54,0.00,0.07,0.44,0.66,0.81,1.00,0.66,0.54,0.54,0.66,0.54",16,0.51,0.97,"Image pack, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",195
blue label johnnie walker,"Informational, Commercial",12100,"0.44,0.44,0.44,0.36,0.44,0.55,1.00,0.55,0.44,0.44,0.44,0.44",35,0.61,1.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products",199
