Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
a night on earth macallan,"Informational, Commercial",170,6,0.58,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
how much is macallan 12,Informational,170,3,0.20,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
how much is macallan 18,Informational,170,5,0.26,"Sitelinks, Video, People also ask, Related searches, Popular products"
how much is macallan 25,"Informational, Commercial",170,12,0.28,"Sitelinks, Video, People also ask, Related searches, Popular products"
what is macallan,Informational,170,33,1.67,"AI Overview, Video, People also ask, Discussions and forums, Related searches"
is macallan 12 good,Informational,140,0,0.00,"AI Overview, Reviews, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
is macallan scotch,Informational,140,25,0.69,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products"
how much is a bottle of macallan 25,Informational,110,6,0.26,"Image, People also ask, Related searches, Popular products"
how much is a shot of macallan 25,Informational,110,12,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
where is macallan made,Informational,110,22,0.81,"AI Overview, Video carousel, People also ask, Related searches"
how much is a bottle of macallan 12,Informational,90,2,0.40,"Sitelinks, Video, People also ask, Related searches, Popular products"
how much is a bottle of macallan 18,Informational,90,4,0.35,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
how much is a glass of macallan 25,Informational,90,5,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
how much is a macallan 25,Informational,90,6,0.28,"Sitelinks, Video, People also ask, Related searches, Popular products"
how to open macallan bottle,Informational,90,22,0.00,"AI Overview, Video, Short videos, People also ask"
where is macallan distillery,Informational,90,32,1.34,"Sitelinks, AI Overview, People also ask, Knowledge panel, Related searches"
where is the macallan distillery,"Informational, Navigational",90,31,1.31,"Sitelinks, AI Overview, People also ask, Knowledge panel, Related searches"
how much is a bottle of macallan,Informational,70,11,0.32,"Sitelinks, Video, People also ask, Related searches, Popular products"
how much is a glass of macallan 18,Informational,70,4,0.00,"Sitelinks, People also ask, Related searches"
how much is a shot of macallan 18,Informational,70,10,0.00,"Sitelinks, Video, People also ask, Related searches"
how to drink macallan 12,Informational,70,13,0.00,"AI Overview, Video carousel, Short videos, People also ask, Related searches"
is macallan a good scotch,Informational,70,4,0.00,"AI Overview, People also ask, Related searches, Popular products"
is macallan a scotch or whiskey,Informational,70,13,0.00,"AI Overview, Video carousel, People also ask, Discussions and forums, Related searches"
is macallan good scotch,Informational,70,7,0.00,"AI Overview, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
is macallan scotch good,Informational,70,2,0.00,"AI Overview, People also ask, Discussions and forums, Related searches, Popular products"
is macallan scotch or whiskey,Informational,70,19,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
what is macallan 12,"Informational, Commercial",70,4,0.00,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches, Popular products"
what is macallan whiskey,Informational,70,19,0.00,"Sitelinks, AI Overview, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
where is macallan scotch made,Informational,70,21,1.21,"AI Overview, Video carousel, People also ask, Related searches"
who owns macallan,Informational,70,26,0.00,"AI Overview, People also ask, Related searches"
is macallan whiskey,Informational,50,14,1.16,"Sitelinks, AI Overview, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
why is macallan so expensive,Informational,50,4,0.00,"AI Overview, Video carousel, People also ask, Discussions and forums, Related searches"
how much does macallan 25 cost,Informational,40,12,0.17,"Image, People also ask, Related searches, Popular products"
how much is macallan whiskey,Informational,40,11,0.36,"Reviews, Video, People also ask, Related searches, Popular products"
what does double cask mean,Informational,40,5,0.00,"AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
why is macallan 1926 so expensive,Informational,40,21,0.00,"AI Overview, Video carousel, People also ask, Discussions and forums, Related searches"
de dónde es el whisky macallan,Informational,30,12,0.00,"Sitelinks, Video carousel, People also ask, Related searches"
did macallan change their bottle,Informational,30,,0.00,"Video carousel, People also ask, Related searches"
how good is macallan 12,Informational,30,0,0.00,"AI Overview, Reviews, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
how much is a bottle of macallan whisky,"Informational, Commercial",30,7,0.00,"Sitelinks, Reviews, Video, People also ask, Related searches, Popular products"
how much is a shot of macallan 12,Informational,30,4,0.00,"Sitelinks, Video, People also ask, Related searches"
how much is macallan 15,,30,,0.17,
is macallan 18 worth it,,30,,0.00,
is macallan a good whiskey,,30,,0.00,
is macallan a whiskey,Navigational,30,9,0.00,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products"
is macallan peated,Informational,30,5,0.00,"Sitelinks, People also ask, Related searches"
is macallan peaty,Informational,30,7,0.00,"AI Overview, People also ask, Discussions and forums, Related searches"
what are the stills at macallan known for,Informational,30,12,0.00,"Video, People also ask, Related searches"
what is a macallan drink,Informational,30,30,0.00,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches"
where is macallan whiskey from,"Informational, Navigational",30,29,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
where is macallan whiskey made,Informational,30,20,0.74,"AI Overview, Video carousel, People also ask, Related searches"
which macallan is most expensive,"Informational, Commercial",30,10,0.00,"AI Overview, Video carousel, People also ask, Related searches, Popular products"
which macallan is the best,Commercial,30,11,1.04,"AI Overview, People also ask, Related searches, Popular products"
a macallan,Informational,20,31,0.00,"Sitelinks, Image pack, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
a macallan drink,Informational,20,7,0.00,"Sitelinks, AI Overview, Image pack, Video carousel, People also ask, Related searches, Popular products"
a night in scotland macallan,Informational,20,5,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
a night on earth in jerez macallan,"Informational, Commercial",20,0,0.00,"Sitelinks, AI Overview, Reviews, Video carousel, People also ask, Related searches"
a night on earth in scotland macallan,,20,,0.00,
a night on earth macallan jerez,"Informational, Commercial",20,4,0.00,"Sitelinks, Reviews, Image pack, Video carousel, People also ask, Related searches, Popular products"
a night on earth macallan price,Transactional,20,2,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
a night on earth the journey macallan,Commercial,20,2,0.00,"Sitelinks, Reviews, Video, People also ask, Related searches, Popular products"
a night on earth the macallan,"Informational, Commercial",20,2,0.00,"Sitelinks, AI Overview, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
can you stay at the macallan estate,Informational,20,,2.69,"People also ask, Related searches"
can you visit macallan distillery,Informational,20,17,0.00,"Video carousel, People also ask, Knowledge panel, Related searches"
cuál es el whisky macallan más caro,"Informational, Commercial",20,,0.00,"AI Overview, Image, Image pack, Video carousel, Short videos, People also ask, Related searches, Popular products"
