Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
makers mark,"Informational, Navigational",49500,"0.55,0.45,0.45,0.55,0.55,1.00,0.82,0.55,0.55,0.68,0.68,0.82",40,1.61,0.96,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products",195
maker's mark,"Informational, Navigational",40500,"0.65,0.65,0.65,0.55,0.65,0.82,1.00,0.65,0.65,0.20,0.16,0.20",57,1.61,0.96,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products",193
maker's mark distillery,"Informational, Transactional",12100,"0.66,0.54,0.54,0.81,0.54,0.44,0.36,0.24,0.36,0.13,1.00,0.29",42,1.50,0.12,"Reviews, Image, Video, People also ask, Knowledge panel, Discussions and forums, Related searches",161
maker's mark liquor,Navigational,9900,"0.02,0.05,0.01,0.02,0.02,0.03,1.00,0.44,0.36,0.44,0.36,0.36",19,1.08,0.48,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products",190
maker's mark bourbon,"Informational, Navigational",8100,"0.66,1.00,0.44,0.36,0.36,0.54,0.81,0.36,0.29,0.08,0.08,0.08",26,1.08,0.48,"Sitelinks, AI Overview, People also ask, Knowledge panel, Related searches, People also search, Popular products",194
maker's mark bourbon whisky,"Informational, Navigational",8100,"0.16,0.13,0.24,0.05,0.16,0.05,1.00,0.24,0.44,0.81,0.66,0.66",31,1.08,0.48,"Sitelinks, AI Overview, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products",192
makers mark bourbon,"Informational, Navigational",6600,"0.36,0.44,0.19,0.36,0.44,0.44,0.81,0.44,0.54,1.00,0.54,0.44",38,1.08,0.48,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products",193
maker's mark whiskey,Navigational,5400,"0.54,0.44,0.44,0.44,0.44,1.00,1.00,0.44,0.36,0.54,0.19,0.36",20,1.12,1.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches, Popular products",196
whisky maker's mark bourbon,"Informational, Commercial",5400,"0.00,0.00,0.00,0.00,0.01,0.00,1.00,0.36,0.00,0.54,0.66,0.36",42,1.12,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",267
maker's mark bourbon whiskey,"Informational, Navigational",4400,"1.00,1.00,0.54,0.66,0.05,0.01,0.23,0.05,0.02,0.10,0.13,0.10",28,1.08,0.48,"Sitelinks, AI Overview, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products",266
makers mark 46,Informational,4400,"0.35,0.35,0.44,0.44,0.54,0.54,1.00,0.44,0.54,0.44,0.67,0.54",11,0.96,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products",197
makers mark distillery,"Informational, Transactional",4400,"0.24,0.24,0.44,0.19,0.35,0.15,0.15,0.13,0.30,1.00,1.00,1.00",39,1.50,0.12,"Reviews, Image, Video, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches",170
makers mark tours,Informational,4400,"0.66,1.00,0.81,0.66,0.66,0.35,0.29,0.29,0.35,0.35,0.29,0.23",21,1.30,0.24,"Image pack, Video, People also ask, Knowledge panel, Related searches",163
makers mark whiskey,"Informational, Navigational",4400,"0.23,0.35,0.15,0.55,0.44,0.44,1.00,0.55,0.67,1.00,1.00,1.00",19,1.12,1.00,"AI Overview, Image, Image pack, People also ask, Related searches, Popular products",207
maker's mark 46,"Informational, Commercial",3600,"0.44,0.44,0.35,0.35,0.44,0.55,1.00,0.44,0.29,0.29,0.15,0.23",14,0.96,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products",188
maker's mark dist,Informational,3600,"0.36,0.54,0.54,0.81,0.36,0.54,0.00,0.54,0.67,0.81,1.00,0.81",32,1.50,0.12,"Reviews, Video carousel, People also ask, Knowledge panel, Related searches",188
makers 46,Informational,3600,"0.43,0.43,0.43,0.54,0.43,0.67,1.00,0.54,0.54,0.43,0.43,0.43",13,0.92,1.00,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products, Things to know",190
maker mark,"Informational, Navigational",2400,"0.80,0.36,0.67,0.44,0.44,1.00,0.67,0.67,0.44,0.80,0.67,0.80",62,1.61,0.96,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products, Things to know",190
makers mark bourbons,Informational,2400,"0.43,0.65,0.22,0.54,0.81,0.36,0.43,0.81,0.22,0.65,1.00,0.43",38,1.08,0.48,"Sitelinks, AI Overview, Reviews, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products",189
makers. mark,Navigational,2400,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",37,1.61,0.96,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products",187
maker's mark cask strength,"Informational, Commercial",1900,"0.44,0.53,0.44,0.67,0.67,0.67,1.00,0.67,0.36,0.36,0.20,0.80",10,1.02,1.00,"AI Overview, Reviews, Image, Image pack, People also ask, Related searches, Popular products",185
bourbon maker's mark,Informational,1600,"0.13,0.36,0.28,0.19,0.15,0.05,1.00,0.28,0.03,0.00,0.03,0.03",41,1.08,0.48,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, People also search, Popular products",194
bourbon whiskey maker's mark,"Informational, Transactional",1600,"0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.02,1.00,0.06,0.05,0.00",33,1.08,0.48,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products",193
maker's mark cellar aged,Commercial,1600,"0.25,0.25,0.31,0.81,0.50,0.44,1.00,0.31,0.31,0.19,0.06,0.06",14,1.17,1.00,"Sitelinks, People also ask, Discussions and forums, Related searches, Popular products",189
price for maker's mark,Commercial,1600,"0.54,0.01,0.20,0.36,0.43,0.00,1.00,0.36,0.00,0.36,0.36,0.29",9,0.52,0.78,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",198
maker's .mark,Navigational,1300,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",45,1.61,0.96,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Discussions and forums, People also search, Popular products",190
maker's mark ambassador,Navigational,1300,"0.68,0.68,0.84,0.68,0.68,0.68,1.00,0.68,0.53,0.16,0.68,0.53",20,2.25,0.18,"Sitelinks, People also ask, Related searches, Popular products",
maker's mark bourbon tour,Informational,1300,"0.20,0.36,0.27,0.10,0.06,0.44,0.53,0.36,1.00,0.67,0.53,0.36",26,1.30,0.24,"Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches",183
maker's mark cask strength bourbon whisky,Commercial,1300,"0.27,0.03,0.20,0.36,0.08,0.00,1.00,0.52,0.66,0.52,0.66,1.00",16,1.02,1.00,"Sitelinks, Reviews, Video carousel, People also ask, Related searches, Popular products",189
maker's mark wheated bourbon,"Informational, Commercial",1300,"0.13,0.22,0.07,0.08,0.16,0.36,1.00,0.43,0.36,0.29,0.16,0.36",33,1.37,0.15,"AI Overview, Reviews, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",244
maker's mark whiskey price,Transactional,1300,"0.31,0.34,0.25,0.15,0.31,0.55,1.00,0.55,0.55,0.55,0.55,0.00",9,0.52,0.78,"Sitelinks, Video, People also ask, Related searches, Popular products",197
makers mark cellar aged,"Informational, Commercial",1300,"0.40,0.20,1.00,0.60,0.60,0.60,0.40,0.80,0.60,0.60,0.80,0.60",15,1.17,1.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",189
makersmark,Navigational,1300,"0.20,0.27,0.20,0.27,0.27,0.66,1.00,0.27,0.20,0.24,0.20,0.20",33,1.79,0.06,"Sitelinks, AI Overview, Video carousel, People also ask, Knowledge panel, Related searches, People also search",145
markers mark,"Informational, Navigational",1300,"0.69,0.69,0.69,0.69,0.69,0.83,1.00,0.69,0.51,0.51,0.51,0.69",19,1.61,0.96,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products",186
whiskey makers mark,Informational,1300,"0.36,0.41,0.30,0.36,0.41,0.41,1.00,0.41,0.41,0.54,0.66,0.79",10,1.12,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products",185
jewelry makers marks database,Informational,1000,"1.00,1.00,1.00,1.00,0.76,0.76,0.76,0.76,0.68,0.29,0.07,0.54",25,1.53,0.04,"AI Overview, People also ask, Related searches",108
maker's mark bourbon whiskey price,Transactional,1000,"0.08,0.03,0.04,0.02,0.03,0.00,1.00,0.36,0.36,0.36,0.36,0.00",9,0.55,0.86,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches, Popular products",198
maker's mark liquor price,Transactional,1000,"0.08,0.02,0.01,0.05,0.02,0.36,1.00,0.36,0.36,0.36,0.36,0.00",9,0.55,0.86,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",196
maker's mark price,Transactional,1000,"0.52,1.00,0.70,0.30,0.35,0.17,1.00,0.83,0.04,0.00,0.83,0.70",10,0.52,0.78,"Sitelinks, Video, People also ask, Discussions and forums, Related searches, Popular products",197
maker's mark slam dunk,Informational,1000,"0.29,0.17,0.29,0.33,0.33,0.33,1.00,0.63,0.29,0.33,0.79,0.21",25,2.49,0.34,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches",178
makers mark cask strength,"Informational, Commercial",1000,"0.08,0.07,0.22,0.07,0.43,0.10,0.36,0.54,0.36,0.43,0.36,1.00",14,1.02,1.00,"Sitelinks, AI Overview, Reviews, Image, People also ask, Related searches, Popular products",187
makers mark price,Transactional,1000,"1.00,0.62,0.62,0.24,0.29,1.00,0.80,0.62,0.62,0.62,0.09,0.44",9,0.52,0.78,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",197
makers whiskey,Informational,1000,"0.62,0.62,0.62,0.55,0.62,0.80,1.00,0.44,0.44,0.36,0.44,0.36",10,1.08,0.96,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products, Things to know",190
is maker's mark bourbon,"Informational, Commercial",880,"0.30,0.16,0.20,0.24,0.30,0.34,1.00,0.34,0.16,0.08,0.07,0.08",44,0.00,0.14,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products",195
maker s mark,"Informational, Navigational",880,"0.62,0.55,0.24,1.00,0.24,0.82,0.82,1.00,0.30,0.36,0.45,0.24",11,1.79,0.06,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products",188
maker's mark tour,"Informational, Transactional",880,"0.66,0.36,0.54,0.36,0.36,0.20,0.16,0.10,0.10,1.00,0.07,0.24",29,1.30,0.24,"Image, Image pack, Video, Short videos, People also ask, Knowledge panel, Related searches",165
maker's mark whisky,"Navigational, Commercial",880,"1.00,0.15,0.38,0.25,0.85,0.31,0.52,0.10,0.69,0.52,0.31,0.31",9,0.93,1.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products",190
makers bourbon,Navigational,880,"0.44,0.37,0.62,0.62,0.55,0.81,1.00,0.44,0.44,0.37,0.30,0.37",37,0.88,1.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products, Things to know",193
makers drink,"Informational, Transactional",880,"0.16,0.16,0.30,0.20,0.20,0.41,1.00,0.36,0.24,0.30,0.30,0.30",16,0.65,1.00,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products",181
