Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
whisky,"Informational, Commercial",110000,78,1.26,"Sitelinks, AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
monkey shoulder,Informational,9900,33,0.36,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
monkey shoulder whiskey,"Informational, Commercial",9900,33,0.38,"AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
monkey shoulder monkey shoulder,Commercial,8100,25,0.36,"Sitelinks, AI Overview, Reviews, Video carousel, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
monkey shoulder scotch,Commercial,8100,20,0.35,"AI Overview, Image, People also ask, Discussions and forums, Related searches, Popular products"
monkey shoulder whisky,Navigational,720,19,0.46,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
monkey whiskey,Informational,720,21,0.46,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
monkey shoulder bourbon,Informational,590,21,0.47,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products"
monkey shoulder scotch whiskey,"Informational, Commercial",590,14,0.38,"AI Overview, Image, People also ask, Related searches, Popular products"
monkey shoulder scotch whisky,"Navigational, Commercial",480,17,0.46,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
smokey monkey,Commercial,480,12,0.00,"Image pack, Video, Related searches, Popular products"
monkey shoulder scotch whisky official website,Navigational,390,15,0.00,"Sitelinks, People also ask, Related searches"
whisky monkey shoulder,"Informational, Navigational",390,14,0.38,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
whiskey shoulder monkey,"Informational, Commercial",320,14,0.38,"AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
monkey scotch,Informational,260,17,0.29,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products, Things to know"
monkey shoulder price,Transactional,260,7,0.32,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
monkey shoulder whiskey price,Transactional,260,6,0.42,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
should monkeys be pets,Informational,260,38,0.00,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches"
083664872541,Informational,210,6,0.00,"Sitelinks, Image, Image pack, People also ask"
monkey scotch whisky,Informational,210,16,0.29,"Sitelinks, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
monkey shoulder blended malt scotch,Commercial,210,11,0.38,"Sitelinks, Image, People also ask, Related searches, Popular products"
monkey shoulder blended malt scotch whisky,"Informational, Commercial",210,14,0.48,"Sitelinks, AI Overview, Image, People also ask, Related searches, Popular products"
monkey shoulder review,Commercial,210,9,0.00,"AI Overview, Reviews, Video, People also ask, Related searches"
monkey shoulder scotch review,Commercial,210,8,0.00,"AI Overview, Reviews, Video carousel, People also ask, Discussions and forums, Related searches"
monkeys shoulder,Informational,210,20,0.36,"AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products, Things to know"
scotch whisky monkey shoulder price,Transactional,210,5,0.42,"Sitelinks, People also ask, Related searches, Popular products"
shoulder monkey,Informational,210,9,0.00,"AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
shoulder monkey whiskey price,Transactional,210,5,0.30,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
3 monkeys whiskey,Informational,170,6,0.42,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
