Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
oban,Informational,12100,39,0.75,"AI Overview, Image, Video, People also ask, Knowledge panel, Related searches, People also search, Things to know"
oban oban,Commercial,9900,31,0.75,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products"
oban scotch,Navigational,5400,27,0.46,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
oban 14,Informational,4400,14,0.50,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products"
oban elliott,Informational,4400,40,0.00,"Image, Video, People also ask, Discussions and forums, Related searches"
oban scotland,Informational,4400,37,1.12,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches, People also search, Things to know"
oban star racers,"Informational, Transactional",2900,44,0.00,"Reviews, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches, People also search"
oban race,Informational,2400,39,0.00,"AI Overview, Reviews, Image, Image pack, Video carousel, People also ask, Related searches"
oban racer,"Informational, Transactional",2400,38,0.00,"Reviews, Image, Video carousel, People also ask, Knowledge panel, Related searches, People also search"
oban whiskey,Navigational,2400,21,0.55,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products"
waterfront fishouse restaurant oban seafood,Informational,2400,8,0.00,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches"
oban distillery,"Informational, Transactional",1900,29,1.29,"Reviews, Image, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches"
oban uk,Informational,1900,29,0.75,"AI Overview, Image, Image pack, Video, People also ask, Knowledge panel, Related searches, People also search, Things to know"
scotland oban,Informational,1900,30,0.75,"AI Overview, Image, Image pack, Video, People also ask, Knowledge panel, Related searches, People also search, Things to know"
oban racing,Informational,1600,49,0.00,"Reviews, Image, Image pack, Video carousel, People also ask, Related searches"
oban seafood hut green shack railway pier details,Informational,1600,22,0.00,"AI Overview, Reviews, Video, Video carousel, People also ask, Knowledge panel, Related searches"
oban star-racers,"Informational, Transactional",1600,44,0.00,"Sitelinks, Reviews, Video carousel, People also ask, Knowledge panel, Related searches, People also search"
best seafood restaurants oban west coast scotland,Commercial,1300,15,0.00,"Sitelinks, People also ask, Local pack, Related searches"
oban little bay,Informational,1300,6,0.53,"AI Overview, Image, People also ask, Related searches, Popular products"
