category,product_name,slug,page_url,primary_keyword,secondary_keywords
Scotch,Ballantine's Finest,ballantines-scotch-whisky,https://caskworth.com/products/ballantines-scotch-whisky,ballantine's scotch whisky,"buy ballantine's online, ballantine's finest blended scotch, ballantine's whisky price, blended scotch whisky online, scotch whisky brands"
Scotch,Cutty Sark,cutty-sark-scotch-whisky,https://caskworth.com/products/cutty-sark-scotch-whisky,cutty sark scotch whisky,"buy cutty sark online, cutty sark blended scotch, cutty sark price, blended scotch whisky online, classic scotch whisky brands"
Scotch,J&B Rare,jb-rare-scotch-whisky,https://caskworth.com/products/jb-rare-scotch-whisky,jb rare scotch whisky,"buy j&b online, j&b rare blended scotch, j&b whisky price, blended scotch whisky online, scotch whisky brands"
Scotch,Black & White,black-and-white-scotch-whisky,https://caskworth.com/products/black-and-white-scotch-whisky,black and white scotch whisky,"buy black and white scotch online, black and white blended scotch, black and white whisky price, blended scotch whisky online, affordable scotch whisky"
Scotch,White Horse,white-horse-scotch-whisky,https://caskworth.com/products/white-horse-scotch-whisky,white horse scotch whisky,"buy white horse online, white horse blended scotch, white horse whisky price, blended scotch whisky online, scotch whisky brands"
Scotch,Teacher's Highland Cream,teachers-highland-cream-scotch,https://caskworth.com/products/teachers-highland-cream-scotch,teachers highland cream scotch,"buy teachers scotch online, teachers highland cream price, blended scotch whisky online, scotch whisky brands, affordable scotch whisky"
Scotch,Whyte & Mackay,whyte-and-mackay-scotch-whisky,https://caskworth.com/products/whyte-and-mackay-scotch-whisky,whyte and mackay scotch whisky,"buy whyte and mackay online, whyte and mackay blended scotch, whyte and mackay price, blended scotch whisky online, scotch whisky brands"
Scotch,Glen Grant,glen-grant-single-malt-scotch,https://caskworth.com/products/glen-grant-single-malt-scotch,glen grant single malt scotch,"buy glen grant online, glen grant 10 year, glen grant 12 year, speyside single malt scotch, glen grant whisky price"
Scotch,The Glenrothes,glenrothes-single-malt-scotch,https://caskworth.com/products/glenrothes-single-malt-scotch,glenrothes single malt scotch,"buy glenrothes online, glenrothes vintage single malt, speyside single malt scotch, glenrothes whisky price, glenrothes vs macallan"
Scotch,Cragganmore,cragganmore-single-malt-scotch,https://caskworth.com/products/cragganmore-single-malt-scotch,cragganmore single malt scotch,"buy cragganmore online, cragganmore 12 year, speyside single malt scotch, cragganmore whisky price, diageo classic malts"
