Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
remy martin,"Informational, Navigational",60500,44,0.94,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
remy,Informational,22200,59,0.72,"AI Overview, Image pack, People also ask, Related searches"
remy martin 1738,"Informational, Commercial",9900,27,0.70,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
remy martin vsop,"Informational, Commercial",8100,22,0.69,"AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
cognac vsop france,"Informational, Commercial",5400,9,0.26,"AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
remy martin cognac,"Informational, Navigational",5400,26,0.82,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
remy martin louis xiii,Navigational,4400,21,0.47,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
remy martin xo,"Informational, Commercial",3600,23,0.79,"AI Overview, Reviews, Image, Image pack, People also ask, Related searches, Popular products"
1738 remy martin,Informational,2900,22,0.70,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
remy 1738,Informational,2900,15,0.81,"Sitelinks, AI Overview, Image, Image pack, Video carousel, People also ask, Related searches, Popular products"
rémy martin,"Informational, Navigational",2900,58,0.94,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products"
fine champagne cognac,Informational,2400,18,0.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
remi martin,"Informational, Navigational",2400,37,0.94,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products"
remy martin 1738 accord royal cognac,Informational,2400,16,1.55,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
remy martin xo price,Transactional,2400,12,0.36,"AI Overview, Reviews, Image, Image pack, People also ask, Related searches, Popular products"
martin cognac,Navigational,1900,10,1.67,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
remy liquor,Informational,1900,57,1.86,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
remy vsop,Informational,1900,11,1.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
rémy martin cognac,Informational,1900,26,0.82,"Sitelinks, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
remmy martin,"Informational, Navigational",1600,40,0.56,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Related searches, People also search, Popular products"
remy alcohol,Informational,1600,34,0.87,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
remy martin cognac louis,"Informational, Commercial",1600,18,0.47,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
remy nartin,"Informational, Navigational",1600,40,0.94,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products"
remy xo,Informational,1600,12,0.76,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
cognac martin,"Navigational, Commercial",1300,13,1.67,"Sitelinks, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
rémy martin vsop cognac,"Informational, Commercial",1300,9,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
argentina xo,Informational,1000,30,0.94,"AI Overview, Image pack, Video, Related searches"
remy martin and 1738,"Informational, Commercial",1000,25,0.70,"AI Overview, People also ask, Related searches, Popular products"
remy martin cognac fine champagne,Informational,1000,12,0.79,"AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
remy martin louis the xiii,Navigational,1000,19,0.49,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
remy martin tercet,"Informational, Commercial",1000,12,0.59,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
remy martin xo cognac,"Informational, Commercial",1000,10,0.86,"Sitelinks, Reviews, Image, Image pack, People also ask, Related searches, Popular products"
remy drink,Navigational,880,11,0.99,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
remy martin 1738 price,Transactional,880,17,0.55,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
remy martin vsop cognac,Informational,880,20,0.92,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
remy martin vsop price,Transactional,880,14,0.42,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
louis xiii remy martin,Navigational,720,19,0.47,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
price remy martin 1738,Transactional,720,16,0.55,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
remy bottle,Informational,720,17,0.70,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
remy cognac,Navigational,720,17,0.81,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
remy martin fine champagne cognac,Informational,720,12,0.69,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches, Popular products"
remy martin louis,"Navigational, Commercial",720,20,0.49,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
remy martin louis 13,"Informational, Commercial",720,19,0.47,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
remy martin price,Transactional,720,9,0.44,"Sitelinks, AI Overview, Reviews, People also ask, Related searches, Popular products"
remy martin song,Informational,720,51,0.00,"AI Overview, Video, People also ask, Related searches"
remy xo price,Transactional,720,10,0.55,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products"
rémy martin louis xiii,"Navigational, Commercial",720,19,0.49,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
rémy martin vsop,"Informational, Commercial",720,15,0.63,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
what is remy martin,"Informational, Navigational",720,31,1.45,"Sitelinks, AI Overview, Image pack, Short videos, People also ask, Related searches"
white remy,Informational,720,10,1.16,"Sitelinks, AI Overview, Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products"
white remy martin,Informational,720,9,0.74,"Sitelinks, AI Overview, Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products"
xo remy martin,Informational,720,14,0.79,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
champagne cognac,Informational,590,21,0.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
martin cognac brand,Informational,590,25,0.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
remy martin 1738 accord royal,"Informational, Commercial",590,17,1.00,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches, Popular products"
remy martin bottle,"Navigational, Commercial",590,29,0.79,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
remy martin louis xiii price,Transactional,590,16,0.35,"Sitelinks, AI Overview, People also ask, Knowledge panel, Related searches, Popular products"
remy martin movie,Informational,590,32,0.00,"AI Overview, Reviews, Video carousel, People also ask, Related searches"
remy martin white,Informational,590,9,0.74,"AI Overview, Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products"
vsop remy martin,Informational,590,19,0.69,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
cognac brand martin,Informational,480,25,0.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
cognac champagne,Informational,480,18,0.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
