Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
rye whiskey,Commercial,22200,30,0.29,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products, Things to know"
rye whiskey rye,Informational,18100,28,0.29,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Popular products"
sazerac rye,"Informational, Commercial",9900,29,0.47,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
high rye bourbon,"Informational, Commercial",8100,7,1.24,"AI Overview, Image, People also ask, Discussions and forums, Related searches, Popular products"
ryes spirits,Informational,8100,30,0.00,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches"
best rye whiskey,Commercial,5400,20,0.32,"Sitelinks, AI Overview, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
bulleit rye,"Informational, Commercial",5400,33,0.64,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
rye drink,Informational,5400,25,0.29,"Sitelinks, Image, Video, Video carousel, Short videos, People also ask, Knowledge panel, Recipes, Discussions and forums, Related searches, Things to know"
sazerac drink,Informational,5400,44,0.25,"AI Overview, Reviews, Video, Video carousel, People also ask, Knowledge panel, Recipes, Related searches, Things to know"
whiskey rye whiskey,"Informational, Commercial",5400,16,0.29,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
bulleit rye whiskey,"Informational, Commercial",4400,33,0.57,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
rye alcohol,Informational,4400,32,0.29,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
sazerac rye whiskey,"Informational, Commercial",4400,20,0.52,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
straight rye whiskey,"Informational, Commercial",4400,20,0.34,"Sitelinks, AI Overview, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
what is rye,Informational,4400,30,0.03,"AI Overview, Reviews, Video, People also ask, Related searches"
rye vs bourbon,Commercial,3600,19,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
ryes,Informational,3600,55,1.92,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches"
high rye bourbon whiskey,"Informational, Commercial",2400,12,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
rye whiskey brands,"Informational, Commercial",2400,22,0.31,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
bourbon vs rye,Commercial,1900,18,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
rye whiskey for sazerac,Informational,1900,20,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Popular products"
ryes alcohol,Informational,1900,33,0.00,"Sitelinks, Video, Video carousel, People also ask, Related searches"
what is rye whiskey,Informational,1900,19,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
bulleit bourbon rye,Commercial,1600,28,0.64,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products"
canadian rye whisky,Commercial,1600,10,0.94,"Sitelinks, AI Overview, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
whiskey and rye,Navigational,1600,48,0.86,"Sitelinks, AI Overview, Reviews, Video, People also ask, Local pack, Discussions and forums, Related searches, Things to know"
bullet rye,"Informational, Transactional",1300,17,0.63,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products, Things to know"
difference between rye and bourbon,"Informational, Commercial",1300,16,0.02,"AI Overview, Image pack, Video, People also ask, Related searches"
high rye whiskey,Informational,1300,4,0.43,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
