Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
whisky,"Informational, Commercial",110000,65,1.26,"Sitelinks, AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
scotch,Commercial,40500,43,0.42,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products, Things to know"
whisky scotch whisky,"Informational, Commercial",33100,37,0.40,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
scotch or whisky,"Informational, Commercial",27100,36,0.40,"AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
scotch whiskey scotch,"Informational, Commercial",18100,27,0.42,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
scotch whisky,"Informational, Commercial",18100,28,0.40,"AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
single malt scotch whisky,"Informational, Commercial",18100,31,0.41,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
highland malt scotch whiskey,"Informational, Commercial",12100,13,0.44,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
premium blended scotch,Commercial,12100,17,0.00,"Image, People also ask, Discussions and forums, Related searches, Popular products"
scotch malt whisky,"Informational, Commercial",12100,27,0.41,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
scotch uisque,"Informational, Commercial",12100,34,0.71,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
scotch whiskey,"Informational, Commercial",9900,29,0.38,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
single malt scotch,Informational,9900,32,0.29,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, People also search, Popular products"
scotch brands,"Informational, Commercial",8100,22,0.38,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
blended scotch whisky,"Informational, Commercial",6600,17,0.26,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products, Things to know"
meaning scotch,Informational,6600,46,0.00,"AI Overview, Video carousel, People also ask, Related searches"
scotch beverage,Informational,6600,29,0.42,"Sitelinks, AI Overview, Image, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products, Things to know"
scotch with,Informational,6600,36,0.38,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products, Things to know"
what is whiskey made of,Informational,6600,14,0.24,"AI Overview, Image pack, Video carousel, Short videos, People also ask, Related searches"
