Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
south african brandy,Informational,390,"0.54,0.54,0.81,0.66,0.66,0.66,1.00,0.81,0.54,0.54,0.44,0.54",2,0.00,0.28,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
kwv brandy,Commercial,260,"0.80,1.00,1.00,0.80,0.80,0.80,1.00,0.65,0.65,0.80,0.80,1.00",11,0.71,0.63,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
klipdrift,Informational,170,"0.66,1.00,0.66,0.66,0.53,0.66,1.00,0.81,0.66,0.66,1.00,0.81",3,0.00,0.07,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches"
klipdrift brandy,Informational,170,"0.80,0.80,0.80,0.65,0.65,0.65,1.00,0.65,0.53,0.65,0.65,0.65",3,0.00,0.28,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
brandy from south africa,Informational,140,"0.66,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.66,0.81,0.00,0.00",0,0.57,0.25,"Sitelinks, AI Overview, Image pack, People also ask, Related searches"
brandy klipdrift,Informational,110,"1.00,0.82,0.82,0.82,0.82,0.00,0.00,1.00,0.64,0.82,0.82,0.82",1,0.00,0.28,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
kwv brandewyn,Commercial,110,"0.00,0.00,0.00,0.53,0.65,0.00,1.00,0.65,0.65,0.80,0.00,0.04",7,0.71,0.63,"AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
klipdrift premium,Commercial,90,"0.64,0.50,0.64,0.64,0.64,0.50,0.50,0.50,0.78,0.50,1.00,1.00",0,1.19,0.24,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
brandy premium,"Informational, Commercial",70,"0.02,0.04,0.04,0.00,0.02,0.02,0.02,1.00,0.00,0.02,0.54,0.54",12,0.00,0.07,"Image pack, People also ask, Related searches, Popular products"
brandewyn,Informational,50,"1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",7,0.00,0.02,"Sitelinks, Video, People also ask, Knowledge panel, Related searches"
brandewyn south africa,Informational,50,"0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,1.00,0.00,0.00",0,0.57,0.25,"Sitelinks, Image pack, Video, People also ask, Related searches"
brandy in south africa,Informational,40,"0.40,0.05,0.11,0.00,0.00,0.00,0.05,1.00,0.00,1.00,0.00,0.82",0,0.57,0.25,"Sitelinks, AI Overview, Image pack, People also ask, Related searches"
