Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
spanish brandy,Commercial,1900,13,0.40,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
brandy de jerez,Informational,590,13,0.44,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
brandy vs sherry,"Informational, Commercial",320,10,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
brandy wikipedia,Navigational,320,65,0.00,"Sitelinks, Image pack, People also ask, Related searches"
sherry vs brandy,"Informational, Commercial",320,1,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
sherry versus brandy,"Informational, Commercial",260,6,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
spanish brandy for sangria,Informational,260,15,0.00,"Sitelinks, AI Overview, Reviews, Image, Video, Video carousel, People also ask, Recipes, Related searches, Popular products"
jerez brandy,"Informational, Transactional",210,11,0.44,"Sitelinks, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
sherry brandy,"Informational, Transactional",210,11,0.00,"Sitelinks, Image pack, Video, People also ask, Recipes, Discussions and forums, Related searches, Popular products"
spanish sangria with brandy,Informational,210,25,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Recipes, Related searches"
brandy spain,Informational,170,31,0.61,"Sitelinks, Reviews, Image pack, Video, Video carousel, People also ask, Local pack, Related searches"
spanish brandy de jerez,Transactional,170,10,0.00,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
solera brandy,Informational,140,4,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
brandi love ricky spanish,Informational,110,11,0.00,
brandy in spanish,Informational,110,15,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
brandy sherry,Commercial,110,8,0.00,"Sitelinks, AI Overview, Image, People also ask, Discussions and forums"
brandy solera,"Informational, Commercial",110,5,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Popular products"
carlos brandy,"Informational, Transactional",110,10,0.40,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
spanish brandies,Informational,110,19,0.61,"Sitelinks, AI Overview, Video, People also ask, Related searches"
cognac vs sherry,"Informational, Commercial",90,3,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
sherry and brandy,Informational,90,8,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
