Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
talisker,"Informational, Transactional",4400,32,0.63,"Sitelinks, Short videos, People also ask, Knowledge panel, Related searches, Things to know"
talisker scotch,"Informational, Commercial",3600,18,0.38,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
talisker distillery,"Informational, Transactional",2900,34,2.49,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches"
talisker carbost,"Informational, Transactional",2400,33,2.49,"Sitelinks, Reviews, People also ask, Knowledge panel, Related searches, Things to know"
talisker distillery skye scotland,"Informational, Transactional",2400,30,2.49,"Sitelinks, Reviews, Video, Short videos, People also ask, Knowledge panel, Related searches"
talisker 10,"Informational, Commercial",1600,15,0.47,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products"
talisker club,Navigational,1300,27,6.50,"Sitelinks, People also ask, Local pack, Related searches"
talisker whiskey,"Informational, Commercial",1000,17,0.45,"Sitelinks, AI Overview, Image pack, Video, People also ask, Local pack, Related searches, Popular products"
talisker distillery isle of skye,Informational,880,29,2.49,"Reviews, Image, Video, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches"
talisker storm,Commercial,880,5,0.51,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
talisker isle of skye,Informational,720,31,2.47,"Sitelinks, Reviews, Image, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Things to know"
talisker 18,"Informational, Commercial",590,5,0.97,"AI Overview, Reviews, Image, People also ask, Discussions and forums, Related searches, Popular products"
talisker scotch whiskey,"Informational, Commercial",590,8,0.32,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
talisker ten,"Informational, Commercial",590,9,0.47,"Sitelinks, AI Overview, Image pack, Video carousel, People also ask, Related searches, Popular products"
talisker distillery skye,Informational,480,28,2.49,"Reviews, Image, Video, Short videos, People also ask, Knowledge panel, Related searches"
scotch talisker,Commercial,320,24,0.38,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
talisk,Informational,320,59,0.00,"Image, Video, Video carousel, People also ask, Knowledge panel, Related searches, People also search"
talisker 10 year,Commercial,320,8,0.39,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
talisker single malt,"Informational, Commercial",320,13,0.18,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches, Popular products"
talisker single malt scotch whisky,"Informational, Commercial",320,14,0.18,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
talisker single malt whisky,Commercial,320,10,0.34,"Sitelinks, AI Overview, Video, Related searches, Popular products"
talisker whisky,"Informational, Commercial",320,29,0.45,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Local pack, Discussions and forums, Related searches, Popular products"
talisker whisky distillery,"Informational, Transactional",320,32,2.47,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches"
total wine scotch,Navigational,320,24,0.11,"Image, Image pack, Video carousel, People also ask, Related searches"
whiskey tours,Commercial,320,41,0.97,"Sitelinks, Reviews, People also ask, Local pack, Related searches"
isle of skye distillery,Commercial,260,33,3.82,"Sitelinks, Reviews, Image, People also ask, Local pack, Related searches"
talisker distillers edition,Commercial,260,14,0.66,"AI Overview, Image, Video, People also ask, Discussions and forums, Related searches, Popular products"
